   PROFIL     Q in m3/s  Tiefe m    Poly   
  -****.****--****.****--***.*****--****-
    20.9600    13.5000    1.92100               x
    20.9600    13.7500    1.04000               x
    20.9600    14.0000    1.92000               x
    20.9600    14.2500    1.91400               x
    20.9600    14.5000    1.92000               x
    20.9600    14.7500    1.07200               x
    20.9600    15.0000    1.07900               x
    20.9770    10.5000    0.97500               2
    20.9770    10.7500    1.86100               2
    20.9770    11.0000    1.86200               2
    20.9770    11.2500    1.00800               2
    20.9770    11.5000    1.01900               2
    20.9770    11.7500    1.02900               2
    20.9770    12.0000    1.04000               2
    20.9770    12.2500    1.05000               2
    20.9770    12.5000    1.06000               2
    20.9770    12.7500    1.07000               2
    20.9770    13.0000    1.08000               2
    20.9770    13.2500    1.09000               2
    20.9770    13.5000    1.09900               2
    21.1140    11.2500    1.53200               2
    21.1140    11.5000    1.53200               2
    21.1140    11.7500    1.53500               2
    21.1140    12.0000    1.53500               2
    21.1140    12.2500    0.77700               2
    21.1140    12.7500    1.53400               x
    21.1140    13.0000    1.52800               x
    21.1140    13.2500    1.52700               x
    21.1140    13.5000    1.52900               x
    21.1140    13.7500    0.83300               x
    21.1140    14.0000    0.84200               x
    21.1140    14.2500    0.85100               x
    21.1140    14.5000    0.86000               x
    21.1140    14.7500    0.86900               x
    21.1140    15.0000    0.87800               x
    21.2570     9.0000    1.57000               2
    21.2570    10.5000    1.60400               2
    21.2570    10.7500    1.60400               2
    21.2570    11.0000    0.81300               2
    21.2570    11.2500    1.59500               2
    21.2570    11.5000    1.59800               2
    21.2570    11.7500    1.60100               2
    21.2570    12.0000    1.59900               2
    21.2570    12.2500    1.59900               2
    21.2570    12.7500    0.88700               x
    21.2570    13.0000    1.59800               x
    21.2570    13.2500    0.90800               x
    21.2570    13.5000    0.91800               x
    21.2570    13.7500    1.60400               x
    21.2570    14.0000    1.60000               x
    21.2570    14.2500    1.59900               x
    21.2570    14.5000    1.59900               x
    21.2570    14.7500    1.59800               x
    21.2570    15.0000    1.60000               x
    21.4450     6.5000    0.54400               1
    21.4450     6.7500    1.24500               1
    21.4450     7.0000    0.56900               1
    21.4450     7.2500    1.24100               1
    21.4450    11.0000    1.30800               2
    21.4450    11.2500    1.31000               2
    21.4450    11.7500    1.31000               2
    21.4450    12.2500    1.31400               2
    21.4450    12.5000    1.31200               2
    21.4450    12.7500    1.31400               2
    21.4450    13.2500    1.31500               2
    21.4450    13.5000    1.30800               2
    21.4450    14.0000    1.31500               2
    21.4450    15.0000    1.33300               x
    21.4530     6.5000    1.17100               2
    21.4530     6.7500    0.54200               2
    21.4530     7.0000    1.17300               2
    21.4530     7.2500    1.17100               2
    21.4530     7.5000    1.17500               2
    21.4530     8.2500    1.19100               2
    21.4530    10.7500    1.23600               2
    21.4530    11.0000    1.23500               2
    21.4530    11.2500    1.23600               2
    21.4530    11.5000    1.23900               2
    21.4530    11.7500    1.23700               2
    21.4530    12.0000    1.24000               2
    21.4530    12.2500    1.24100               2
    21.4530    12.5000    1.24000               2
    21.4530    12.7500    1.24100               2
    21.4530    13.0000    1.24100               2
    21.4530    13.2500    1.23200               2
    21.4530    13.5000    1.24100               2
    21.4530    13.7500    1.23600               2
    21.4530    14.0000    1.24000               2
    21.5530    10.5000    1.48000               x
    21.5530    10.7500    0.71800               x
    21.5530    11.0000    1.48000               x
    21.5530    11.2500    1.47700               x
    21.5530    11.5000    1.47300               x
    21.5530    11.7500    0.75800               x
    21.5530    12.0000    1.47800               x
    21.5530    12.2500    1.48000               x
    21.5530    12.5000    0.78600               x
    21.5530    12.7500    0.79600               x
    21.5530    13.0000    0.80500               x
    21.5530    13.2500    0.81400               x
    21.5530    13.5000    0.82400               x
    21.5530    13.7500    0.83300               x
    21.5530    14.0000    1.47200               x
    21.5530    14.2500    0.85100               x
    21.5530    14.5000    1.47600               x
    21.5530    14.7500    1.47200               x
    21.5530    15.0000    0.87800               x
    21.6800     7.5000    1.22000               1
    21.6800     8.7500    0.65500               2
    21.6800     9.0000    0.66500               2
    21.6800    13.0000    1.64300               2
    21.6800    13.2500    1.63800               2
    21.6850    10.0000    1.78600               2
    21.6850    10.2500    0.78100               2
    21.6850    10.5000    0.79200               2
    21.6850    10.7500    0.80200               2
    21.6850    11.0000    1.78400               2
    21.6850    11.2500    0.82200               2
    21.6850    11.5000    0.83100               2
    21.6850    11.7500    1.79100               2
    21.7780    15.0000    2.32600               x
   PROFIL     Q in m3/s  alpha      Poly 
  -****.****--****.****--**.******--****-
    20.9600    13.5000               1.38856    x
    20.9600    13.7500               1.00000    x
    20.9600    14.0000               1.38865    x
    20.9600    14.2500               1.39019    x
    20.9600    14.5000               1.38864    x
    20.9600    14.7500               1.00106    x
    20.9600    15.0000               1.00215    x
    20.9770    10.5000               1.00000    2
    20.9770    10.7500               1.46640    2
    20.9770    11.0000               1.46646    2
    20.9770    11.2500               1.00000    2
    20.9770    11.5000               1.00000    2
    20.9770    11.7500               1.00000    2
    20.9770    12.0000               1.00000    2
    20.9770    12.2500               1.00000    2
    20.9770    12.5000               1.00000    2
    20.9770    12.7500               1.00000    2
    20.9770    13.0000               1.00000    2
    20.9770    13.2500               1.00000    2
    20.9770    13.5000               1.00000    2
    21.1140    11.2500               1.03042    2
    21.1140    11.5000               1.03042    2
    21.1140    11.7500               1.03020    2
    21.1140    12.0000               1.03021    2
    21.1140    12.2500               1.00169    2
    21.1140    12.7500               1.03022    x
    21.1140    13.0000               1.03069    x
    21.1140    13.2500               1.03076    x
    21.1140    13.5000               1.03065    x
    21.1140    13.7500               1.00234    x
    21.1140    14.0000               1.00245    x
    21.1140    14.2500               1.00256    x
    21.1140    14.5000               1.00267    x
    21.1140    14.7500               1.00279    x
    21.1140    15.0000               1.00290    x
    21.2570     9.0000               1.39343    2
    21.2570    10.5000               1.16132    2
    21.2570    10.7500               1.16127    2
    21.2570    11.0000               1.01917    2
    21.2570    11.2500               1.15857    2
    21.2570    11.5000               1.15744    2
    21.2570    11.7500               1.15737    2
    21.2570    12.0000               1.15715    2
    21.2570    12.2500               1.15720    2
    21.2570    12.7500               1.02130    x
    21.2570    13.0000               1.15781    x
    21.2570    13.2500               1.02197    x
    21.2570    13.5000               1.02234    x
    21.2570    13.7500               1.05149    x
    21.2570    14.0000               1.05128    x
    21.2570    14.2500               1.05123    x
    21.2570    14.5000               1.05126    x
    21.2570    14.7500               1.05119    x
    21.2570    15.0000               1.05128    x
    21.4450     6.5000               1.01364    2
    21.4450     6.7500               1.15583    2
    21.4450     7.0000               1.01444    2
    21.4450     7.2500               1.14577    2
    21.4450    11.0000               1.21540    2
    21.4450    11.2500               1.21197    2
    21.4450    11.7500               1.21282    2
    21.4450    12.2500               1.20775    2
    21.4450    12.5000               1.21005    2
    21.4450    12.7500               1.20837    2
    21.4450    13.2500               1.20670    2
    21.4450    13.5000               1.21530    2
    21.4450    14.0000               1.20677    2
    21.4450    15.0000               1.18629    x
    21.4530     6.5000               1.35583    2
    21.4530     6.7500               1.00000    2
    21.4530     7.0000               1.35705    2
    21.4530     7.2500               1.35544    2
    21.4530     7.5000               1.35908    2
    21.4530     8.2500               1.38775    2
    21.4530    10.7500               1.44590    2
    21.4530    11.0000               1.44766    2
    21.4530    11.2500               1.44554    2
    21.4530    11.5000               1.44156    2
    21.4530    11.7500               1.44504    2
    21.4530    12.0000               1.44089    2
    21.4530    12.2500               1.43960    2
    21.4530    12.5000               1.44018    2
    21.4530    12.7500               1.43927    2
    21.4530    13.0000               1.43932    2
    21.4530    13.2500               1.44838    2
    21.4530    13.5000               1.43915    2
    21.4530    13.7500               1.44322    2
    21.4530    14.0000               1.44152    2
    21.5530    10.5000               1.03129    x
    21.5530    10.7500               1.00590    x
    21.5530    11.0000               1.03128    x
    21.5530    11.2500               1.03147    x
    21.5530    11.5000               1.03169    x
    21.5530    11.7500               1.00662    x
    21.5530    12.0000               1.03138    x
    21.5530    12.2500               1.03132    x
    21.5530    12.5000               1.00716    x
    21.5530    12.7500               1.00878    x
    21.5530    13.0000               1.00905    x
    21.5530    13.2500               1.00933    x
    21.5530    13.5000               1.00964    x
    21.5530    13.7500               1.00992    x
    21.5530    14.0000               1.03172    x
    21.5530    14.2500               1.01048    x
    21.5530    14.5000               1.03150    x
    21.5530    14.7500               1.03171    x
    21.5530    15.0000               1.01132    x
    21.6800     7.5000               1.01541    2
    21.6800     8.7500               1.00243    2
    21.6800     9.0000               1.00253    2
    21.6800    13.0000               1.24011    2
    21.6800    13.2500               1.24049    2
    21.6850    10.0000               1.25886    2
    21.6850    10.2500               1.00439    2
    21.6850    10.5000               1.00451    2
    21.6850    10.7500               1.00464    2
    21.6850    11.0000               1.25758    2
    21.6850    11.2500               1.00488    2
    21.6850    11.5000               1.00499    2
    21.6850    11.7500               1.26080    2
    21.7780    15.0000               1.32529    x
