   PROFIL     Q in m3/s  Tiefe m    Poly   
  -****.****--****.****--***.*****--****-
    43.3000   441.0000    7.40100               2
    43.4000   281.0000    7.14300               2
    43.5000   361.0000    7.21800               2
    43.5000   401.0000    7.21900               2
    43.5000   441.0000    7.21800               2
    43.5000   481.0000    7.21700               2
   PROFIL     Q in m3/s  alpha      Poly 
  -****.****--****.****--**.******--****-
    42.1000   321.0000               1.44026    2
    42.1000   361.0000               1.44178    2
    42.1000   401.0000               1.42726    2
    42.1000   441.0000               1.40779    2
    42.2000   281.0000               1.46751    x
    42.2000   321.0000               1.53112    x
    42.2000   361.0000               1.54860    x
    42.2000   401.0000               1.59211    x
    42.2000   441.0000               1.57791    x
    42.2000   481.0000               1.57974    x
    42.2000   521.0000               1.55468    x
    42.2000   561.0000               1.52891    x
    42.2000   601.0000               1.50360    x
    42.2000   641.0000               1.47971    x
    42.2000   681.0000               1.45763    x
    42.3000   401.0000               1.41491    x
    42.3000   441.0000               1.43561    x
    42.3000   481.0000               1.48818    x
    42.3000   521.0000               1.49236    x
    42.3000   561.0000               1.48560    x
    42.3000   601.0000               1.47372    x
    42.3000   641.0000               1.45955    x
    42.3000   681.0000               1.44438    x
    42.4000   281.0000               1.42651    2
    42.4000   321.0000               1.42452    2
    42.4000   361.0000               1.45370    2
    42.4000   401.0000               1.44760    2
    42.4000   441.0000               1.43374    2
    42.4000   481.0000               1.41801    2
    42.4000   521.0000               1.40255    2
    42.5000    81.0000               1.42230    1
    42.5000   121.0000               1.42283    1
    42.7000    81.0000               1.46424    1
    42.8950   161.0000               1.42290    2
    42.8950   201.0000               1.41468    2
    42.9000   201.0000               1.40144    2
    43.3000   441.0000               1.30662    2
    43.4000   241.0000               1.49780    2
    43.4000   281.0000               1.50641    2
    43.4000   321.0000               1.51631    2
    43.4000   361.0000               1.51170    2
    43.4000   401.0000               1.49197    2
    43.4000   441.0000               1.47029    2
    43.4000   481.0000               1.44661    2
    43.4000   521.0000               1.42474    2
    43.4000   561.0000               1.40508    2
    43.5000   361.0000               1.21407    2
    43.5000   401.0000               1.21436    2
    43.5000   441.0000               1.21527    2
    43.5000   481.0000               1.21631    2
    44.0000   121.0000               1.45580    x
    44.0000   161.0000               1.61298    x
    44.0000   201.0000               1.73102    x
    44.0000   241.0000               1.81967    x
    44.0000   281.0000               1.89208    x
    44.0000   321.0000               1.96667    x
    44.0000   361.0000               1.97358    x
    44.0000   401.0000               1.95943    x
    44.0000   441.0000               1.94109    x
    44.0000   481.0000               1.92296    x
    44.0000   521.0000               1.90614    x
    44.0000   561.0000               1.89143    x
    44.0000   601.0000               1.87911    x
    44.0000   641.0000               1.86939    x
    44.0000   681.0000               1.86034    x
