       Stat Kenn   Abfluss     Sohle     h_WSP       hen      h_BV    Boe_li    Boe_re     v_m  tau_fl      Q_li      Q_fl      Q_re lamb_li lamb_fl lamb_re      f_li      f_fl      f_re     br_li     br_fl     br_re    WehrOK  BrueckOK  BrueckUK   BrueckB    RohrDN   AlphaIW   AlphaEW    I_Reib
         km    -     m^3/s       mNN       mNN       mNN       mNN       mNN       mNN     m/s   N/m^2     m^3/s     m^3/s     m^3/s       -       -       -       m^2       m^2         m         m         m         m       mNN       mNN       mNN         m         m         -         -         -
    41.7200    n    20.000   362.033   362.720   362.947   364.363   365.007   364.363   2.111   77.75     0.000    20.000     0.000  0.0000  0.1396  0.0000     0.000     9.473     0.000     0.000    20.849     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    41.7400    n    20.000   362.033   363.086   363.143   364.574   365.126   364.574   1.058   14.46     0.000    20.031     0.000  0.0000  0.1031  0.0000     0.000    18.908     0.000     0.000    25.770     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    41.7450    n    20.000   362.033   363.093   363.158   365.191   365.191   365.296   1.129   16.50     0.000    20.000     0.000  0.0000  0.1036  0.0000     0.000    17.718     0.000     0.000    24.428     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    41.8000    n    20.000   362.035   363.211   363.262   364.709   365.384   364.709   1.000   11.89     0.000    20.072     0.000  0.0000  0.0944  0.0000     0.000    19.995     0.000     0.000    23.606     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    41.9000    n    20.000   361.044   363.330   363.341   364.463   364.463   364.732   0.466    2.05     0.000    19.999     0.000  0.0000  0.0754  0.0000     0.000    42.910     0.000     0.000    26.710     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    42.0000    n    20.000   360.049   363.345   363.349   363.856   363.856   364.906   0.290    0.66     0.000    20.000     0.000  0.0000  0.0631  0.0000     0.000    69.019     0.000     0.000    29.413     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    42.0350    n    20.000   359.952   363.348   363.350   362.451   362.451   365.193   0.188    0.25     0.073    19.921     0.000  0.1278  0.0565  0.0000     1.423   105.081     0.000     3.164    37.563     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00727   1.01651   0.00000
    42.1000    n    20.000   360.558   363.348   363.353   363.307   363.307   365.565   0.328    1.02     0.000    20.061     0.000  0.0000  0.0754  0.0000     0.004    60.983     0.000     0.178    30.958     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    42.2000    n    20.000   360.444   363.354   363.357   363.506   363.506   365.656   0.243    0.52     0.000    20.000     0.000  0.0000  0.0707  0.0000     0.000    82.375     0.000     0.000    36.718     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    42.3000    n    20.000   359.807   363.357   363.359   363.758   366.310   363.758   0.197    0.31     0.000    20.000     0.000  0.0000  0.0647  0.0000     0.000   101.515     0.000     0.000    40.623     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    42.4000    n    20.000   361.276   363.360   363.369   363.241   366.743   363.241   0.433    2.00     0.000    19.999     0.002  0.0000  0.0850  0.1575     0.000    46.130     0.026     0.000    31.117     0.446  -999.999  -999.999  -999.999  -999.999  -999.999   1.00042   1.00090   0.00000
    42.5000    n    20.000   361.107   363.374   363.389   365.060   365.772   365.060   0.540    2.92     0.000    20.000     0.000  0.0000  0.0801  0.0000     0.000    37.032     0.000     0.000    23.729     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    42.6000    n    20.000   361.526   363.398   363.417   363.966   363.966   365.648   0.609    4.43     0.000    20.001     0.000  0.0000  0.0955  0.0000     0.000    32.818     0.000     0.000    22.926     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    42.7000    n    20.000   361.677   363.441   363.465   361.677   361.677   366.048   0.558    6.71     2.882    17.098     0.000  1.1871  0.1038  0.0000    12.076    23.766     0.000     7.280    18.050     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.17630   1.47770   0.00000
    42.8000    n    20.000   361.260   363.491   363.500   361.260   361.260   366.298   0.400    1.76     4.926    15.074     0.000  0.0616  0.0955  0.0000    10.776    39.284     0.000     7.680    24.330     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.02181   1.06612   0.00000
    42.8950    n    20.000   360.991   363.503   363.510   364.105   364.105   364.661   0.357    1.31     0.000    20.001     0.000  0.0000  0.0818  0.0000     0.000    55.964     0.000     0.000    33.569     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    42.9000    n    20.000   360.987   363.506   363.510   363.857   363.857   365.149   0.284    0.76     0.000    19.985     0.000  0.0000  0.0759  0.0000     0.000    70.408     0.000     0.000    39.479     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    43.0000    n    20.000   360.667   363.510   363.515   363.886   366.059   363.886   0.313    0.87     0.000    20.000     0.000  0.0000  0.0711  0.0000     0.000    63.971     0.000     0.000    32.939     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    43.1000    n    20.000   360.163   363.516   363.518   362.722   365.927   362.722   0.223    0.42     0.000    19.963     0.037  0.0000  0.0674  0.1233     0.000    88.939     0.567     0.000    38.269     1.429  -999.999  -999.999  -999.999  -999.999  -999.999   1.00322   1.00737   0.00000
    43.2000    n    20.000   360.092   363.518   363.520   365.676   365.908   365.676   0.216    0.36     0.000    20.000     0.000  0.0000  0.0619  0.0000     0.000    92.690     0.000     0.000    37.426     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    43.3000    n    20.000   360.315   363.519   363.522   364.794   364.794   366.061   0.257    0.53     0.000    20.000     0.000  0.0000  0.0642  0.0000     0.000    77.755     0.000     0.000    31.099     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    43.4000    n    20.000   360.139   363.521   363.525   362.644   362.644   365.648   0.252    0.52     0.026    19.975     0.000  0.2339  0.0644  0.0000     0.420    78.827     0.000     0.956    30.539     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00349   1.00765   0.00000
    43.5000    n    20.000   359.987   363.524   363.527   364.756   364.920   364.756   0.262    0.60     0.000    20.000     0.000  0.0000  0.0703  0.0000     0.000    76.396     0.000     0.000    32.349     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    43.6000    n    20.000   360.316   363.527   363.530   363.932   365.526   363.932   0.256    0.59     0.000    20.000     0.000  0.0000  0.0719  0.0000     0.000    78.168     0.000     0.000    33.220     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    43.7000    n    20.000   360.127   363.529   363.532   362.827   365.096   362.827   0.247    0.51     0.000    19.967     0.033  0.0000  0.0660  0.1233     0.000    80.323     0.511     0.000    29.647     1.439  -999.999  -999.999  -999.999  -999.999  -999.999   1.00351   1.00793   0.00000
    43.8000    n    20.000   359.853   363.531   363.534   364.904   365.014   364.904   0.237    0.45     0.000    20.000     0.000  0.0000  0.0647  0.0000     0.000    84.341     0.000     0.000    30.505     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    43.9000    n    20.000   359.755   363.533   363.537   364.232   365.606   364.232   0.293    0.75     0.000    20.000     0.000  0.0000  0.0698  0.0000     0.000    68.191     0.000     0.000    26.042     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    43.9820    n    20.000   359.869   363.536   363.540   362.171   366.234   362.171   0.257    0.56     0.000    19.807     0.193  0.0000  0.0651  0.1183     0.000    75.813     2.021     0.000    26.988     2.919  -999.999  -999.999  -999.999  -999.999  -999.999   1.01092   1.02580   0.00000
    44.0000    n    20.000   359.921   363.537   363.540   362.707   365.569   362.707   0.248    0.50     0.000    19.945     0.053  0.0000  0.0648  0.1486     0.000    79.959     0.823     0.000    29.977     1.985  -999.999  -999.999  -999.999  -999.999  -999.999   1.00569   1.01288   0.00000
    44.1000    n    20.000   360.131   363.540   363.541   363.917   365.236   363.917   0.182    0.26     0.000    20.000     0.000  0.0000  0.0621  0.0000     0.000   109.865     0.000     0.000    41.775     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    44.2000    n    20.000   360.268   363.540   363.544   364.912   364.912   365.283   0.300    0.78     0.000    20.000     0.000  0.0000  0.0699  0.0000     0.000    66.735     0.000     0.000    29.344     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    44.3000    n    20.000   360.563   363.544   363.548   364.725   364.725   365.575   0.301    0.81     0.000    20.000     0.000  0.0000  0.0714  0.0000     0.000    66.374     0.000     0.000    30.414     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    44.3900    n    20.000   361.439   363.549   363.551   364.980   364.998   364.980   0.185    0.32     0.000    20.086     0.000  0.0000  0.0743  0.0000     0.000   108.130     0.000     0.000    62.067     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    44.4000    n    20.000   361.518   363.548   363.551   364.732   364.732   365.027   0.237    0.53     0.000    19.999     0.000  0.0000  0.0755  0.0000     0.000    84.293     0.000     0.000    49.473     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    44.4050    n    20.000   361.563   363.548   363.552   364.412   364.412   365.069   0.263    0.74     0.000    20.000     0.000  0.0000  0.0857  0.0000     0.000    76.041     0.000     0.000    48.930     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    44.4250    n    20.000   361.601   363.549   363.553   364.356   364.356   364.950   0.278    0.79     0.000    20.004     0.000  0.0000  0.0813  0.0000     0.000    71.832     0.000     0.000    46.380     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    44.5000    n    20.000   361.792   363.553   363.559   364.652   364.652   365.554   0.350    1.14     0.000    20.000     0.000  0.0000  0.0743  0.0000     0.000    57.148     0.000     0.000    38.202     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    44.6000    n    20.000   360.740   363.561   363.564   363.881   363.881   365.030   0.221    0.42     0.000    20.000     0.000  0.0000  0.0692  0.0000     0.000    90.545     0.000     0.000    40.138     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    44.7000    n    20.000   359.728   363.564   363.565   363.780   363.780   364.733   0.183    0.28     0.000    20.040     0.000  0.0000  0.0659  0.0000     0.000   109.092     0.000     0.000    37.477     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    44.8000    n    20.000   359.599   363.565   363.566   364.929   365.020   364.929   0.167    0.23     0.000    20.038     0.000  0.0000  0.0674  0.0000     0.000   119.978     0.000     0.000    40.718     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    44.9000    n    20.000   359.986   363.566   363.567   363.962   363.962   364.515   0.175    0.28     0.000    20.000     0.000  0.0000  0.0740  0.0000     0.000   114.098     0.000     0.000    45.260     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    45.0000    n    20.000   359.854   363.567   363.569   363.610   363.610   364.650   0.226    0.44     0.000    20.000     0.000  0.0000  0.0690  0.0000     0.000    88.676     0.000     0.000    32.477     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    45.1000    n    20.000   360.251   363.569   363.571   364.006   364.006   364.899   0.206    0.37     0.000    20.000     0.000  0.0000  0.0702  0.0000     0.000    96.884     0.000     0.000    39.640     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00000
    45.2000    n    20.000   358.997   363.571   363.572   362.412   362.412   364.608   0.151    0.20     0.088    19.912     0.000  0.1255  0.0686  0.0000     1.779   131.020     0.000     3.187    45.465     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00626   1.01453   0.00000
