       Stat Kenn     Sohle     h_WSP       hen      h_BV    Boe_li    Boe_re     v_m  tau_fl lamb_li lamb_fl lamb_re      f_li      f_fl      f_re     br_li     br_fl     br_re    WehrOK  BrueckOK  BrueckUK   BrueckB    RohrDN
         km    -       mNN       mNN       mNN       mNN       mNN       mNN     m/s   N/m^2       -       -       -       m^2       m^2         m         m         m         m       mNN       mNN       mNN         m         m
    58.4500    n     2.580     3.690     3.698     4.980     4.980     5.100   0.386    1.62  0.0000  0.0868  0.0000     0.000     8.103     0.000     0.000    11.565     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    58.4930    n     2.370     3.700     3.706     5.000     5.080     5.000   0.346    1.07  0.0000  0.0711  0.0000     0.000     9.051     0.000     0.000    10.867     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    58.5500    n     2.610     3.709     3.715     4.410     4.740     4.410   0.365    1.39  0.0000  0.0828  0.0000     0.000     8.579     0.000     0.000    11.072     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    58.6000    n     2.760     3.719     3.724     4.460     4.460     5.050   0.329    1.21  0.0000  0.0887  0.0000     0.000     9.501     0.000     0.000    12.441     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    58.6470    n     2.540     3.726     3.730     4.969     4.969     5.200   0.292    0.79  0.0000  0.0744  0.0000     0.000    10.725     0.000     0.000    11.375     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    58.7000    n     2.680     3.731     3.736     4.820     5.300     4.820   0.318    0.98  0.0000  0.0771  0.0000     0.000     9.837     0.000     0.000    11.572     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    58.7490    n     2.680     3.738     3.743     5.180     5.180     5.220   0.314    1.02  0.0000  0.0823  0.0000     0.000     9.962     0.000     0.000    12.862     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    58.8000    n     2.110     3.745     3.748     5.400     5.630     5.400   0.249    0.55  0.0000  0.0706  0.0000     0.000    12.554     0.000     0.000    12.650     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    58.8530    n     2.750     3.751     3.760     5.120     5.120     5.240   0.416    1.83  0.0000  0.0836  0.0000     0.000     7.517     0.000     0.000    10.727     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    58.9000    n     2.720     3.764     3.770     5.190     5.900     5.190   0.330    1.08  0.0000  0.0791  0.0000     0.000     9.471     0.000     0.000    11.971     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    58.9510    n     2.550     3.771     3.776     5.310     5.460     5.310   0.325    0.99  0.0000  0.0750  0.0000     0.000     9.633     0.000     0.000    11.193     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    59.0000    n     2.850     3.778     3.784     5.670     5.670     6.400   0.344    1.23  0.0000  0.0832  0.0000     0.000     9.101     0.000     0.000    12.706     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    59.0510    n     2.680     3.788     3.797     5.260     5.410     5.260   0.397    1.68  0.0000  0.0849  0.0000     0.000     7.881     0.000     0.000    11.551     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    59.1000    n     2.460     3.800     3.806     5.790     5.790     6.510   0.367    1.21  0.0000  0.0718  0.0000     0.000     8.540     0.000     0.000     9.316     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    59.1500    n     2.780     3.810     3.820     5.930     5.930     6.090   0.423    2.16  0.0000  0.0957  0.0000     0.000     7.395     0.000     0.000    10.692     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
