     PROFIL  PUNKT     X [m]     H [m]  LAMBDA [-]   V [m/s]
     0.0130      1    -2.676     5.678   0.0000000     0.000
     0.0130      2    -0.670     5.606   0.0000000     0.000
     0.0130      3     0.000     5.320   0.0000000     0.000
     0.0130      4     1.826     4.899   0.0856632     2.124
     0.0130      5     2.226     3.916   0.0856632     2.124
     0.0130      6     4.673     3.841   0.0856632     2.124
     0.0130      7     7.499     3.923   0.0856632     2.124
     0.0130      8     7.766     4.339   0.0000000     0.000
     0.0130      9    12.366     6.904   0.0000000     0.000
     0.0130     10    14.434     6.738   0.0000000     0.000
     0.0425      1   -13.363     6.197   0.0000000     0.000
     0.0425      2    -8.792     6.197   0.0000000     0.000
     0.0425      3    -7.045     6.197   0.0000000     0.000
     0.0425      4    -2.510     6.197   0.0856632     1.607
     0.0425      5    -0.728     6.197   0.0856632     1.607
     0.0425      6     0.000     6.197   0.0856632     1.607
     0.0425      7     2.450     4.319   0.0856632     1.607
     0.0425      8     2.741     4.080   0.0876639     2.128
     0.0425      9     2.741     4.080   0.0876639     2.128
     0.0425     10     4.987     4.059   0.0876639     2.128
     0.0425     11     4.991     4.059   0.0876639     2.128
     0.0425     12     6.992     4.154   0.0000000     0.000
     0.0425     13     6.992     4.154   0.0000000     0.000
     0.0425     14     7.550     4.184   0.0000000     0.000
     0.0425     15     9.739     5.861   0.0000000     0.000
     0.0425     16     9.928     5.877   0.0000000     0.000
     0.0425     17    10.563     5.917   0.0000000     0.000
     0.0425     18    11.997     6.197   0.0000000     0.000
     0.0425     19    12.841     6.267   0.0000000     0.000
     0.0550      1   -13.363     6.278   0.0000000     0.000
     0.0550      2    -8.792     6.278   0.0000000     0.000
     0.0550      3    -7.045     6.278   0.0000000     0.000
     0.0550      4    -2.510     6.278   0.0856632     0.000
     0.0550      5    -0.728     6.278   0.0856632     0.000
     0.0550      6     0.000     6.278   0.0856632     0.000
     0.0550      7     2.741     6.278   0.0845219     3.069
     0.0550      8     2.741     4.161   0.0845219     3.069
     0.0550      9     4.537     4.140   0.0845219     3.069
     0.0550     10     4.540     4.140   0.0845219     3.069
     0.0550     11     6.141     4.235   0.0845219     3.069
     0.0550     12     6.141     6.278   0.0000000     0.000
     0.0550     13    11.146     6.278   0.0000000     0.000
     0.0550     14    11.990     6.348   0.0000000     0.000
     0.0590      1   -13.363     6.278   0.0000000     0.000
     0.0590      2    -8.792     6.278   0.0000000     0.000
     0.0590      3    -7.045     6.278   0.0000000     0.000
     0.0590      4    -2.510     6.278   0.0856632     0.000
     0.0590      5    -0.728     6.278   0.0856632     0.000
     0.0590      6     0.000     6.278   0.0856632     0.000
     0.0590      7     2.741     6.278   0.0754934     2.264
     0.0590      8     2.741     4.161   0.0754934     2.264
     0.0590      9     4.537     4.140   0.0754934     2.264
     0.0590     10     4.540     4.140   0.0754934     2.264
     0.0590     11     6.141     4.235   0.0754934     2.264
     0.0590     12     6.141     6.278   0.0000000     0.000
     0.0590     13    11.146     6.278   0.0000000     0.000
     0.0590     14    11.990     6.348   0.0000000     0.000
     0.0640      1   -13.363     6.328   0.0000000     0.000
     0.0640      2    -8.792     6.328   0.0000000     0.000
     0.0640      3    -7.045     6.328   0.0000000     0.000
     0.0640      4    -2.510     6.328   0.0856632     1.097
     0.0640      5    -0.728     6.328   0.0856632     1.097
     0.0640      6     0.000     6.328   0.0856632     1.097
     0.0640      7     2.450     4.450   0.0754934     1.097
     0.0640      8     2.741     4.211   0.0729226     1.229
     0.0640      9     2.741     4.211   0.0729226     1.229
     0.0640     10     4.537     4.190   0.0729226     1.229
     0.0640     11     4.540     4.190   0.0729226     1.229
     0.0640     12     6.141     4.285   0.0000000     0.000
     0.0640     13     6.141     4.285   0.0000000     0.000
     0.0640     14     6.698     4.315   0.0000000     0.000
     0.0640     15     8.887     5.992   0.0000000     0.000
     0.0640     16     9.076     6.008   0.0000000     0.000
     0.0640     17     9.711     6.048   0.0000000     0.000
     0.0640     18    11.146     6.328   0.0000000     0.000
     0.0640     19    11.990     6.398   0.0000000     0.000
     0.1590      1   -26.963     6.928   0.0000000     0.000
     0.1590      2    -4.962     6.821   0.0000000     0.000
     0.1590      3    -2.372     6.569   0.0000000     0.000
     0.1590      4    -0.356     5.931   0.0856632     0.964
     0.1590      5     0.000     5.870   0.0856632     0.964
     0.1590      6     2.337     5.799   0.0856632     0.964
     0.1590      7     4.320     5.217   0.0754934     0.964
     0.1590      8     5.300     4.700   0.0757267     1.624
     0.1590      9     5.930     4.419   0.0757267     1.624
     0.1590     10     6.738     4.313   0.0757267     1.624
     0.1590     11     8.000     4.700   0.0729226     1.317
     0.1590     12     8.247     4.778   0.0000000     0.000
     0.1590     13     9.140     5.020   0.0000000     0.000
     0.1590     14    10.311     6.036   0.0000000     0.000
     0.1590     15    12.356     6.641   0.0000000     0.000
     0.2050      1    -4.638     6.601   0.0000000     0.000
     0.2050      2    -1.728     6.645   0.0000000     0.000
     0.2050      3    -0.273     6.480   0.0000000     0.000
     0.2050      4     0.000     6.705   0.0856632     0.902
     0.2050      5     3.089     4.927   0.0691643     1.660
     0.2050      6     3.718     4.404   0.0691643     1.660
     0.2050      7     4.561     4.362   0.0691643     1.660
     0.2050      8     5.663     4.388   0.0691643     1.660
     0.2050      9     6.253     4.969   0.0757267     0.887
     0.2050     10     8.780     6.432   0.0757267     0.887
     0.2050     11    10.918     7.022   0.0729226     0.887
     0.2050     12    11.187     7.707   0.0000000     0.000
     0.2050     13    14.706     9.601   0.0000000     0.000
     0.2050     14    15.536    10.273   0.0000000     0.000
     0.2050     15    17.753    12.228   0.0000000     0.000
     0.2050     16    19.886    12.320   0.0000000     0.000
     0.3147      1    -3.968     7.974   0.0000000     0.000
     0.3147      2    -1.611     7.974   0.0000000     0.000
     0.3147      3    -0.414     7.974   0.0000000     0.000
     0.3147      4     0.000     7.974   0.0856632     1.113
     0.3147      5     4.786     4.849   0.0727619     1.325
     0.3147      6     4.791     4.849   0.0727619     1.325
     0.3147      7     7.533     4.835   0.0727619     1.325
     0.3147      8     8.096     4.776   0.0691643     1.051
     0.3147      9     8.101     4.776   0.0757267     1.051
     0.3147     10    10.854     7.354   0.0757267     1.051
     0.3147     11    11.185     7.454   0.0729226     1.051
     0.3147     12    12.548     7.754   0.0000000     0.000
