       Stat Kenn   Abfluss     Sohle     h_WSP       hen      h_BV    Boe_li    Boe_re     v_m  tau_fl lamb_li lamb_fl lamb_re      f_li      f_fl      f_re     br_li     br_fl     br_re    WehrOK  BrueckOK  BrueckUK   BrueckB    RohrDN
         km    -     m^3/s       mNN       mNN       mNN       mNN       mNN       mNN     m/s   N/m^2       -       -       -       m^2       m^2         m         m         m         m       mNN       mNN       mNN         m         m
     0.0130    n    10.000     3.841     4.710     4.938     5.606     5.606     6.904   2.091   46.69  0.0000  0.0828  0.1230     0.000     4.660     0.124     0.000     5.863     0.666  -999.999  -999.999  -999.999  -999.999  -999.999
     0.0425    i    10.000     4.059     4.936     5.166     5.861     6.197     5.861   2.052   49.60  0.0835  0.0877  0.0000     0.463     3.613     0.798     1.097     4.252     1.540  -999.999  -999.999  -999.999  -999.999  -999.999
     0.0550    i    10.000     4.140     5.126     5.607     6.278     6.278     6.278   3.069   99.49  0.0000  0.0845  0.0000     0.000     3.259     0.000     0.000     3.400     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
     0.0590    b    10.000     4.140     5.467     5.729     6.278     6.278     6.278   2.264   48.36  0.0000  0.0755  0.0000     0.000     4.418     0.000     0.000     3.400     0.000  -999.999     6.278     5.463     4.000  -999.999
     0.0640    i    10.000     4.190     5.665     5.750     5.992     6.328     5.992   1.216   13.77  0.0661  0.0729  0.0000     1.351     4.920     1.950     1.876     3.400     2.320  -999.999  -999.999  -999.999  -999.999  -999.999
     0.1590    n    10.000     4.313     5.902     6.019     6.641     6.821     6.641   1.361   25.68  0.1017  0.0779  0.1038     1.868     3.849     1.631     5.489     2.700     2.156  -999.999  -999.999  -999.999  -999.999  -999.999
     0.2050    n    10.000     4.362     6.046     6.168     6.705     6.705    12.228   1.427   23.33  0.1310  0.0677  0.1302     1.088     4.920     1.002     1.944     3.165     1.860  -999.999  -999.999  -999.999  -999.999  -999.999
     0.3147    i    10.000     4.776     6.355     6.435     7.974     7.974    12.454   1.233   15.96  0.0828  0.0728  0.0000     1.738     5.031     1.340     2.307     3.310     1.692  -999.999  -999.999  -999.999  -999.999  -999.999
     0.3310    i    10.000     4.822     6.330     6.618     8.020     8.020    12.570   2.378   53.37  0.0000  0.0757  0.0000     0.000     4.205     0.000     0.000     2.904     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
     0.3660    b    10.000     4.822     6.610     6.772     8.020     8.020     8.020   1.783   27.94  0.0000  0.0703  0.0000     0.000     5.607     0.000     0.000     2.904     0.000  -999.999     8.020     6.780    35.000  -999.999
     0.3710    i    10.000     4.872     6.727     6.784     8.070     8.070    12.550   1.054   10.77  0.0762  0.0715  0.0000     2.432     5.207     1.846     2.729     2.900     1.985  -999.999  -999.999  -999.999  -999.999  -999.999
     0.4750    n    10.000     5.053     7.033     7.072     6.643     6.643     8.149   0.625   13.82  0.1319  0.1517  7.2577     9.424     4.367     2.203    31.588     2.365     2.521  -999.999  -999.999  -999.999  -999.999  -999.999
     0.5139    i    10.000     5.130     7.106     7.109     6.547     6.859     6.547   0.226    0.51  0.1389  0.0682  0.0971     4.682    39.417     0.211    17.985    29.038     0.680  -999.999  -999.999  -999.999  -999.999  -999.999
     0.6310    i    10.000     5.355     7.156     7.221     7.084     7.084     7.084   1.016   11.52  0.1454  0.0706  0.1211     1.304     8.501     0.035    17.985     7.190     0.521  -999.999  -999.999  -999.999  -999.999  -999.999
