  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 20.96000000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
  --**.********-------**.********----**.********-------**.********-------**.********-------**.********----  ---**.********- -----**.********
    8.0740       0.5170           1.5170        0.5000     1.000000    -0.1767461D-01     0.0000000D+00    -0.1357803D-12
    8.1570       0.6000           2.0150        0.7500     1.000000    -0.5392457D-02     0.0000000D+00     0.2380318D-12
    8.2250       0.6680           2.4610        1.0000     1.000000     0.1251890D-01     0.1480155D-01     0.1052491D-12
    8.2840       0.7270           2.8790        1.2500     1.000000     0.2350105D-01    -0.1515970D-01    -0.6439294D-13
    8.3360       0.7790           3.2750        1.5000     1.000000     0.2197881D-01    -0.1536897D-01    -0.1502132D-12
    8.3840       0.8270           3.6540        1.7500     1.000000     0.1816606D-01     0.6292716D-02    -0.1435518D-12
    8.4230       0.8660           3.9800        2.0000     1.000000     0.3429701D-02     0.2993552D-02    -0.7993606D-13
    8.4590       0.9020           4.2760        2.2500     1.000000    -0.9903249D-03    -0.6164695D-03     0.7327472D-14
    8.4930       0.9360           4.5620        2.5000     1.000000    -0.8431585D-02    -0.2917779D-02     0.9148238D-13
    8.5260       0.9690           4.8380        2.7500     1.000000    -0.1155011D-01     0.2352902D-03     0.1456613D-12
    8.5580       1.0010           5.1080        3.0000     1.000000    -0.1490532D-01     0.6697851D-02     0.1387779D-12
    8.5890       1.0320           5.3690        3.2500     1.000000    -0.1593606D-01     0.1460723D-01     0.3952394D-13
    8.6200       1.0630           5.6260        3.5000     1.000000    -0.1152820D-01     0.3107083D-01    -0.1920686D-12
    8.6430       1.0860           5.8230        3.7500     1.002240    -0.1373626D-01    -0.1611192D-01     0.3336610D-01
    8.6710       1.1140           6.0610        4.0000     1.002530    -0.1369369D-01    -0.1373760D-01     0.6779967D-02
    8.6990       1.1420           6.2940        4.2500     1.002830    -0.7698093D-02    -0.5767458D-02    -0.1002620D-01
    8.7250       1.1680           6.5230        4.5000     1.003120    -0.1393136D-01    -0.1155870D-01    -0.1853835D-01
    8.7520       1.1950           6.7490        4.7500     1.003400    -0.7721922D-02    -0.3516629D-02    -0.2164710D-01
    8.7780       1.2210           6.9730        5.0000     1.003680    -0.7229862D-02    -0.1019342D-02    -0.2046241D-01
    8.8030       1.2460           7.1910        5.2500     1.005020    -0.8495531D-02    -0.4734508D-02    -0.1759991D-01
    8.8290       1.2720           7.4070        5.5000     1.005470     0.1904098D-02     0.4849885D-02    -0.1176574D-01
