       Stat Kenn   Abfluss     Sohle     h_WSP       hen      h_BV    Boe_li    Boe_re     v_m  tau_fl      Q_li      Q_fl      Q_re lamb_li lamb_fl lamb_re      f_li      f_fl      f_re     br_li     br_fl     br_re    WehrOK  BrueckOK  BrueckUK   BrueckB    RohrDN   AlphaIW   AlphaEW    I_Reib
         km    -     m^3/s       mNN       mNN       mNN       mNN       mNN       mNN     m/s   N/m^2     m^3/s     m^3/s     m^3/s       -       -       -       m^2       m^2         m         m         m         m       mNN       mNN       mNN         m         m         -         -         -
    20.9600    n     0.500     7.557     8.074     8.079     9.409     9.409     9.558   0.330    1.30     0.000     0.500     0.000  0.0000  0.0955  0.0000     0.000     1.517     0.000     0.000     5.576     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    20.9700    n     0.500     7.676     8.095     8.100     9.556     9.556     9.677   0.292    1.11     0.000     0.500     0.000  0.0000  0.1043  0.0000     0.000     1.714     0.000     0.000     7.514     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    20.9770    n     0.500     7.451     7.946     7.953     9.152     9.152     9.473   0.353    1.42     0.000     0.500     0.000  0.0000  0.0912  0.0000     0.000     1.418     0.000     0.000     4.706     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.1140    n     0.500     7.750     8.063     8.068     8.740     8.740     9.277   0.312    1.21     0.000     0.500     0.000  0.0000  0.0999  0.0000     0.000     1.605     0.000     0.000     6.359     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.2570    n     0.500     7.731     8.079     8.085     9.007     9.007     9.326   0.332    1.29     0.000     0.499     0.001  0.0000  0.0925  0.1015     0.000     1.496     0.011     0.000     5.329     0.165  -999.999  -999.999  -999.999  -999.999  -999.999   1.00268   1.00642   0.00050
    21.4450    n     0.500     8.038     8.348     8.354     9.013     9.013     9.187   0.319    1.24     0.000     0.498     0.002  0.0000  0.0955  0.1010     0.008     1.547     0.014     0.057     5.778     0.147  -999.999  -999.999  -999.999  -999.999  -999.999   1.00343   1.00819   0.00050
    21.4500    n     0.500     8.010     8.301     8.306     9.126     9.126     9.126   0.305    1.18     0.000     0.500     0.000  0.0000  0.1014  0.0000     0.000     1.642     0.000     0.000     6.795     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.4530    n     0.500     7.995     8.297     8.302     9.161     9.161     9.184   0.315    1.23     0.000     0.500     0.000  0.0000  0.0993  0.0000     0.000     1.589     0.000     0.000     6.141     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.5530    n     0.500     8.004     8.318     8.323     9.305     9.305     9.475   0.313    1.22     0.000     0.500     0.000  0.0000  0.0999  0.0000     0.000     1.600     0.000     0.002     6.435     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.6800    n     0.500     8.056     8.423     8.427     9.446     9.460     9.446   0.281    1.23     0.000     0.500     0.000  0.0000  0.1246  0.0000     0.000     1.777     0.000     0.000     6.915     0.012  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.6850    n     0.500     7.968     8.376     8.381     8.292     9.469     8.292   0.294    1.30     0.000     0.500     0.000  0.0000  0.1204  0.0000     0.000     1.698     0.001     0.000     6.218     0.033  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.6870    n     0.500     8.064     8.449     8.454     9.379     9.497     9.379   0.290    1.28     0.000     0.500     0.000  0.0000  0.1217  0.0000     0.000     1.723     0.000     0.000     6.483     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
