Lfd.Nr.;Pegelname;Gewässer;Gewässerfolge;Gebiet;Gebietskennz.;TK 25;HW;RW;LS;Stationierung;Lage am Gewässer;Gemeindekennzahl;AEO (km2);PNP1;PNP2;PNP3;Messstellennummer1;Messstellennummer2;Messstellennummer3;Messnetzart;WO;W1;WZ;Q;B;F;Tw;2;3;4;5;GJ;OrB;eingest.;gepl.;Betreiber;Daten abrufbar bei;Veröffentlichung der Daten;sonstige Bemerkungen
1;Ummendorf;Aller;Weser;Aller;48131;3833;5779500;4444640;;248,0;links;;56,0;;124,71;HN76;440003;440002;440004;G;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
2;Alleringersleben;Aller;Weser;Aller;481113;3732;5786930;4440920;;237,0;links;;152;113,21;;n S;440004;440003;440006;G;WO;W1;;Q;;;Tw;;;;;GJ;;;;STAU MD;STAU MD;DGJ;Ausfallzeiten, Ausbau 1963, PNÄ 1955/64
3;Walbeck;Aller;Weser;Aller;48115;3732;5794250;4436520;;228,5;Mitte;;231;;94,32;HN76;440008;440006;440010;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;
4;Weferlingen;Aller;Weser;Aller;48115;3632;5798320;4435574;;222,5;rechts;;249;84,27;;n S;440010;440008;440020;G;WO;W1;;Q;;;;;;;;GJ;;;;STAU MD;STAU MD;DGJ;Ausfallzeiten, Ausbau 1937/38, 1964
5;Hödingen;Schölecke;Aller, Weser;Aller;48116;3632;5796880;4438750;;1,7;rechts;;27,0;;;;441201;440030;441203;G;;W1;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;
6;Etingen Zillbeck;Spetze;Aller, Weser;Aller;48127;3633;5806020;4443640;;7,0;links;;83,0;;74,41;HN76;441303;441203;444205;G;;W1;WZ;Q;B;;;;;;;;;;;STAU MD;STAU MD;;
7;Breitenrode;Aller;Weser;Aller;;3531;5815770;4427720;;1,5;;;;55,85;;;441405;;;;;;;;;;;2;;;;;;;;STAU MD;STAU MD;;
8;Ilsenburg;Ilse;Oker, Aller, Weser;Aller;48241;4129;5746440;4407420;;36,4;rechts;;21,4;351,28;;n S;444205;441303;444210;G;WO;W1;;Q;B;;;;;;;;;;;STAU MD;STAU MD;;
9;Bühne-Hoppenstedt;Ilse;Oker, Aller, Weser;Aller;48245;4029;5763200;4407550;;11,3;rechts;;160;97,76;;n S;444210;444205;444220;G;WO;W1;;Q;;;;;;;;GJ;;;;STAU MD;STAU MD;DGJ;
10;Pretzsch-Mauken;Elbe;;Mittlere Elbe bis Havel;;4242;5731734;4557003;;184,4;links;;55764;69,32;;n S;501330;;;;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
11;Elster;Elbe;;Mittlere Elbe bis Havel;;4142;5743960;4557150;;200,2;rechts;;61575;66,76;;n S;501390;;;S;;;WZ;;;;;2;;;;;OrB;;;;;;
12;Wittenberg;Elbe;;Mittlere Elbe bis Havel;53939;4141;5747138;4544634;;214,1;links;;61879;62,48;;;501420;;;G;WO;W1;;Q;;F;;;;;;GJ;;;;WSA DD;WSA DD;DGJ;
13;Coswig;Elbe;;Mittlere Elbe bis Havel;;4140;5749352;4531196;;236,4;links;;62054;57,62;;;501470;;;S;;;WZ;;;;;2;;;;;OrB;;;WSA DD;WSA DD;;
14;Roßlau;Elbe;;Mittlere Elbe bis Havel;;4139;5749733;4516399;;257,8;Mitte;;62600;53,86;;;501490;;;S;;;WZ;;B;;;;;;;;OrB;;;WSA DD;WSA DD;;
15;Dessau-Leopoldshafen;Elbe;;Mittlere Elbe bis Havel;;4139;5746975;4515230;;261,2;links;;69781;52,99;;;502000;;502010;G;WO;W1;;;;;;;;;;;;;;WSA DD;WSA DD;;
16;Aken;Elbe;;Mittlere Elbe bis Havel;55951;4138;5747089;4504180;;274,7;links;;70093;50,24;;;502010;502000;502030;G;WO;W1;;Q;;;;;;;;GJ;;;;WSA DD;WSA DD;DGJ;
17;Steckby;Elbe;;Mittlere Elbe bis Havel;5719;4138;5750740;4500650;;280,8;;;;50,11;;;502030;502010;502040;V;;;;;;;;2;;;;;;;;STAU MD;STAU MD;;
