,_de,_en
org.kalypso.ui.wizards.differences.GenerateDifferenceResultTinWizard.23,...generiere Differenzen...,
org.kalypso.ui.wizards.imports.roughness.AddRoughnessPolygonsCmd.0,Rauheitpolygone hinzuf\u00FCgen,
org.kalypso.ui.wizards.imports.observation.ImportObservationSelectionWizardPage.0,,Zeitzone:
org.kalypso.ui.wizards.imports.elevationmodel.ImportElevationWizard.11,Could not create file:,
org.kalypso.ui.wizards.imports.lineShp.LineShpMainPage.0,Bitte die Shape-Datei w\u00E4hle,Select line shape file
org.kalypso.ui.wizards.imports.observation.ImportObservationSelectionWizardPage.1,Bitte die Zeitreihendatei und das Datenformat ausw\u00E4hlen.,Please select a timeseries an the data type.
org.kalypso.ui.wizards.imports.observation.ImportObservationSelectionWizardPage.2,Zeitreihendaten ausw\u00E4hlen,Timeseries selection
org.kalypso.ui.wizards.imports.roughness.PageSecond.Description,Zuordnung der Rauheitsattribute zu den definierten Rauheitsklassen.,Mapping of roughness
org.kalypso.ui.wizards.imports.lineShp.LineShpMainPage.3,Bitte die Datei zum Import ausw\u00E4hlen.,Please select the file to be imported.
org.kalypso.ui.wizards.imports.baseMap.ImportBaseMapImportImgPage.BrowseButton,Browse...,Browse...
org.kalypso.ui.wizards.imports.baseMap.ImportBaseMapImportImgPage.description,Import von Hintergrunddaten in den Formaten TIF oder JPG,Select base map files
org.kalypso.ui.wizards.imports.lineShp.LineShpMainPage.4,Datei\:,Shape file
org.kalypso.ui.wizards.imports.wspmrestart.ImportWspmRestartPage.1,Externe Restart Ergebnisse importieren,
org.kalypso.ui.wizards.imports.observation.ImportObservationSelectionWizardPage.5,Quelle,Source
org.kalypso.ui.wizards.imports.lineShp.LineShpMainPage.5,Bitte die Shape-Datei zum Import ausw\u00E4hlen.,Please select a SHP file
org.kalypso.ui.wizards.imports.wspmrestart.ImportWspmRestartPage.2,W\u00E4hlen Sie das 1D-station\u00E4re Ergebnis au,
org.kalypso.ui.wizards.imports.observation.ImportObservationSelectionWizardPage.6,Datei\:,File\:
ImportBaseMapImportShpPage.5,,Koordinatensystem der Shape-Datei
org.kalypso.ui.wizards.imports.observation.ImportObservationSelectionWizardPage.10,Format\:,Format\:
org.kalypso.ui.wizards.imports.lineShp.LineShpMainPage.6,Fehler beim Lesen der Datei.,Error reading file
