  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 41.72000000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
  --**.********-------**.********----**.********-------**.********-------**.********-------**.********----  ---**.********- -----**.********
  362.5730       0.5400           6.5420        1.0000     1.000000     0.4328477D+01    -0.6985062D-02     0.0000000D+00
  364.0200       1.9870          49.6510       21.0000     1.000000    -0.1520299D+02     0.1057067D+01    -0.2220446D-15
  364.7740       2.7410          79.2330       41.0000     1.002040    -0.5791895D+01    -0.1591675D+01     0.4440892D-15
  365.3260       3.2930         106.1770       61.0000     1.026240     0.8435256D+01    -0.1408932D+01    -0.8636629D-02
  365.7490       3.7160         140.6920       81.0000     1.099800     0.1260747D+02    -0.4329031D+00     0.1838978D-01
  366.0930       4.0600         179.4400      101.0000     1.167210     0.9702277D+01     0.6041077D+00     0.1319346D-02
  366.3820       4.3490         216.0880      121.0000     1.200200     0.6038893D+01     0.1224520D+01    -0.6342504D-02
  366.6320       4.5990         249.7080      141.0000     1.211240     0.2935538D+01     0.1317263D+01    -0.5292818D-02
  366.8570       4.8240         281.3810      161.0000     1.214360     0.1914252D+00     0.1228716D+01    -0.3668184D-02
  367.0620       5.0290         311.5430      181.0000     1.214040    -0.2497390D+01     0.8950923D+00    -0.2989975D-02
  367.2530       5.2200         339.8620      201.0000     1.210240    -0.4342063D+01     0.5318331D+00    -0.1481450D-02
  367.4320       5.3990         366.5250      221.0000     1.204740    -0.5496738D+01     0.8284936D-01     0.1405562D-03
  367.6030       5.5700         391.8050      241.0000     1.198420    -0.5843457D+01    -0.2092230D+00     0.1626571D-02
  367.7660       5.7330         415.9840      261.0000     1.192280    -0.5801822D+01    -0.4955339D+00     0.2466607D-02
  367.9220       5.8890         439.2280      281.0000     1.186530    -0.5506251D+01    -0.7922746D+00     0.2771316D-02
  368.0740       6.0410         461.6630      301.0000     1.181270    -0.4720681D+01    -0.8212202D+00     0.2581140D-02
  368.2200       6.1870         483.3910      321.0000     1.176490    -0.3930363D+01    -0.9348040D+00     0.2152076D-02
  368.3620       6.3290         504.4900      341.0000     1.172180    -0.2974304D+01    -0.9473468D+00     0.1544527D-02
  368.5010       6.4680         525.0180      361.0000     1.168290    -0.1812653D+01    -0.7816998D+00     0.8588151D-03
  368.6350       6.6020         545.0440      381.0000     1.164800    -0.8788216D+00    -0.7957222D+00     0.2306140D-03
  368.7670       6.7340         564.6070      401.0000     1.161650     0.2109707D+00    -0.6014557D+00    -0.3450250D-03
  368.8960       6.8630         583.7370      421.0000     1.158810     0.1228711D+01    -0.3979138D+00    -0.7961006D-03
  369.0230       6.9900         602.4800      441.0000     1.156250     0.2246219D+01    -0.7343173D-01    -0.1120824D-02
  369.1470       7.1140         620.8800      461.0000     1.153930     0.3029171D+01     0.1684975D+00    -0.1273081D-02
  369.2680       7.2350         638.9360      481.0000     1.151830     0.3548945D+01     0.2813750D+00    -0.1264813D-02
  369.3880       7.3550         656.6610      501.0000     1.149970     0.4069631D+01     0.5616040D+00    -0.1183797D-02
  369.5050       7.4720         674.0920      521.0000     1.148320     0.4223132D+01     0.6364988D+00    -0.1011027D-02
  369.6210       7.5880         691.2500      541.0000     1.146770     0.4264219D+01     0.8154782D+00    -0.7089738D-03
  369.7350       7.7020         708.1470      561.0000     1.145340     0.4007209D+01     0.8955739D+00    -0.3363207D-03
  369.8470       7.8140         724.7940      581.0000     1.144040     0.3421209D+01     0.8454817D+00     0.4099891D-04
  369.9570       7.9240         741.2100      601.0000     1.142850     0.2469882D+01     0.6352965D+00     0.3846909D-03
  370.0670       8.0340         757.4080      621.0000     1.141770     0.1397202D+01     0.6010333D+00     0.6194732D-03
  370.1740       8.1410         773.3950      641.0000     1.140770    -0.2340732D+00     0.1729104D+00     0.7365731D-03
  370.2810       8.2480         789.1770      661.0000     1.139860    -0.2043909D+01    -0.1250072D+00     0.6369223D-03
  370.3860       8.3530         804.7730      681.0000     1.139030    -0.4332455D+01    -0.6828164D+00     0.2827942D-03
  370.4840       8.4510         819.4190      700.0000     1.138300    -0.6945974D+01    -0.1456255D+01    -0.3312816D-03
  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 41.74000000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
  --**.********-------**.********----**.********-------**.********-------**.********-------**.********----  ---**.********- -----**.********
  362.5490       0.5160           6.6450        1.0000     1.000000     0.4027504D+01     0.1208415D-01     0.4440892D-15
  364.0730       2.0400          47.9660       21.0000     1.000000    -0.1433462D+02     0.9505445D+00    -0.4440892D-15
  364.9080       2.8750          78.3630       41.0000     1.001450    -0.5068035D+01    -0.1575343D+01     0.2220446D-15
  365.4860       3.4530         105.3400       61.0000     1.027460     0.7857091D+01    -0.1577454D+01    -0.8237335D-02
  365.9320       3.8990         138.3280       81.0000     1.092260     0.1256427D+02    -0.3470017D+00     0.1847898D-01
  366.2890       4.2560         175.8010      101.0000     1.153070     0.9425524D+01     0.7675634D+00     0.7869209D-04
  366.5870       4.5540         210.5610      121.0000     1.177930     0.6003722D+01     0.1391806D+01    -0.5450923D-02
  366.8440       4.8110         242.7740      141.0000     1.185440     0.2650722D+01     0.1454341D+01    -0.5375620D-02
  367.0750       5.0420         273.1960      161.0000     1.186360    -0.4833060D+00     0.1324342D+01    -0.5035205D-02
  367.2850       5.2520         301.5350      181.0000     1.182240    -0.2992713D+01     0.9133187D+00    -0.3270103D-02
  367.4810       5.4480         327.9690      201.0000     1.175460    -0.4514787D+01     0.5111792D+00    -0.9447919D-03
  367.6650       5.6320         352.8760      221.0000     1.167770    -0.5394437D+01     0.6150917D-01     0.1129035D-02
  367.8400       5.8070         376.5530      241.0000     1.160280    -0.5704046D+01    -0.3164705D+00     0.2403316D-02
  368.0070       5.9740         399.2140      261.0000     1.153270    -0.5653082D+01    -0.6674071D+00     0.3003906D-02
  368.1680       6.1350         421.0070      281.0000     1.146890    -0.5220731D+01    -0.8825669D+00     0.3009430D-02
  368.3240       6.2910         442.0540      301.0000     1.141140    -0.4473933D+01    -0.9382645D+00     0.2592888D-02
  368.4740       6.4410         462.4340      321.0000     1.135980    -0.3705137D+01    -0.1058115D+01     0.1980382D-02
  368.6200       6.5870         482.2290      341.0000     1.131360    -0.2778126D+01    -0.1062514D+01     0.1241857D-02
  368.7630       6.7300         501.4900      361.0000     1.127210    -0.1655096D+01    -0.8775099D+00     0.4765017D-03
