Bodenparameter NA-Modell
BODART_ID ArtKap.  WP     FK     BFMAX     Kf   BF0
                [mm/dm] [mm/dm] [mm/dm] [mm/d] [-]
GEW1 ms 15.0 25.0 35.0 1300.0 0.5
GEW2 ms 15.0 25.0 35.0 1300.0 0.5
gSfs1 sl 3.0 18.5 37.0 1300.0 0.5
gSfs2 sl 3.0 18.5 37.0 1300.0 0.5
gSms1 ls 5.0 20.0 38.0 1200.0 0.5
gSms2 ls 5.0 20.0 38.0 1200.0 0.5
Ls21 ls 18.0 33.5 40.5 200.0 0.5
Ls22 ls 18.0 33.5 40.5 200.0 0.5
Ls31 sl 18.5 33.5 40.0 70.0 0.5
Ls32 sl 18.5 33.5 40.0 70.0 0.5
Ls41 ls4 15.5 31.5 39.5 140.0 0.5
Ls42 ls4 15.5 31.5 39.5 140.0 0.5
Lsg1 ls 15.0 30.0 36.5 1000.0 0.5
Lsg2 ls 15.0 30.0 36.5 1000.0 0.5
Lt21 lt2 24.0 39.0 44.0 90.0 0.5
Lt22 lt2 24.0 39.0 44.0 90.0 0.5
Lt31 ks 29.5 43.5 47.0 100.0 0.5
Lt32 ks 29.5 43.5 47.0 100.0 0.5
Lts1 ls 28.5 42.0 46.5 60.0 0.5
Lts2 ls 28.5 42.0 46.5 60.0 0.5
Lu1 sl 19.5 36.5 42.5 180.0 0.5
Lu2 sl 19.5 36.5 42.5 180.0 0.5
mS1 sl 3.5 11.0 36.0 4270.0 0.5
mS2 sl 3.5 11.0 36.0 4270.0 0.5
mSgs1 ls 3.0 11.0 34.5 2810.0 0.5
mSgs2 ls 3.0 11.0 34.5 2810.0 0.5
Sl21 ms 6.5 24.0 36.5 490.0 0.5
Sl22 ms 6.5 24.0 36.5 490.0 0.5
Sl31 tum 8.0 26.0 37.0 330.0 0.5
Sl32 tum 8.0 26.0 37.0 330.0 0.5
Sl41 sl4 11.5 28.5 38.5 210.0 0.5
Sl42 sl4 11.5 28.5 38.5 210.0 0.5
Slu1 tum 10.5 31.5 38.0 110.0 0.5
Slu2 tum 10.5 31.5 38.0 110.0 0.5
Ss1 tum 6.0 16.5 36.0 2290.0 0.5
Ss2 tum 6.0 16.5 36.0 2290.0 0.5
St21 tum 9.0 23.0 38.5 790.0 0.5
St22 tum 9.0 23.0 38.5 790.0 0.5
St31 tum 14.0 29.5 38.5 170.0 0.5
St32 tum 14.0 29.5 38.5 170.0 0.5
Su21 tuh 5.5 21.5 35.0 880.0 0.5
Su22 tuh 5.5 21.5 35.0 880.0 0.5
Su31 tuh 7.5 28.0 37.0 320.0 0.5
Su32 tuh 7.5 28.0 37.0 320.0 0.5
Tl1 xx 36.0 50.5 54.0 30.0 0.5
Tl2 xx 36.0 50.5 54.0 30.0 0.5
Uls1 sl 11.0 33.0 39.5 140.0 0.5
Uls2 sl 11.0 33.0 39.5 140.0 0.5
Us1 ks 7.5 33.0 38.0 100.0 0.5
Us2 ks 7.5 33.0 38.0 100.0 0.5
Ut31 ks 12.5 36.0 40.5 80.0 0.5
Ut32 ks 12.5 36.0 40.5 80.0 0.5
Ut41 ks 15.5 36.0 41.5 90.0 0.5
Ut42 ks 15.5 36.0 41.5 90.0 0.5
