Bodenparameter NA-Modell Kollau
BODART_ID   ArtKap.    WP      FK      BFMAX      Kf     BF0
                    [mm/dm]  [mm/dm]  [mm/dm]  [mm/d]   [-]
  SsLd3	      Ss      6.0     16.5     36.0    2290.	 0.75
 Sl2Ld3	     Sl2      6.5     24.0     36.5	490.	 0.75
 Sl3Ld3	     Sl3      8.0     26.0     37.0	330.	 0.75
 Sl4Ld3	     Sl4     11.5     28.5     38.5	210.	 0.75
 SluLd3	     Slu     10.5     31.5     38.0	110.	 0.75
 St2Ld3	     St2      9.0     23.0     38.5	790.	 0.75
 St3Ld3	     St3     14.0     29.5     38.5	170.	 0.75
 Su2Ld3	     Su2      5.5     21.5     35.0	880.	 0.75
 Su3Ld3	     Su3      7.5     28.0     37.0	320.	 0.75
 Su4Ld3	     Su4      7.0     29.0     36.5	240.	 0.75
 Ls2Ld3	     Ls2     18.0     33.5     40.5	200.	 0.75
 Ls3Ld3	     Ls3     18.5     33.5     40.0	 70.	 0.75
 Ls4Ld3	     Ls4     15.5     31.5     39.5	140.	 0.75
 Lt2Ld3	     Lt2     24.0     39.0     44.0	 90.	 0.75
 Lt3Ld3	     Lt3     29.5     43.5     47.0	 10.	 0.75
 LtsLd3	     Lts     28.5     42.0     46.5	 60.	 0.75
  LuLd3	      Lu     19.5     36.5     42.5	180.	 0.75
  UuLd3	      Uu     10.5     36.5     39.5	 70.	 0.75
 UlsLd3	     Uls     11.0     33.0     39.5	140.	 0.75
  UsLd3	      Us      7.5     33.0     38.0	100.	 0.75
 Ut2Ld3	     Ut2     11.0     36.0     40.0	 70.	 0.75
 Ut3Ld3	     Ut3     12.5     36.0     40.5	 80.	 0.75
 Ut4Ld3	     Ut4     15.5     36.0     41.5	 90.	 0.75
  TtLd3	      Tt     40.0     56.0     58.5	 20.	 0.75
  TlLd3	      Tl     36.0     50.5     54.0	 30.	 0.75
 Tu2Ld3	     Tu2     34.5     49.0     52.0	 50.	 0.75
 Tu3Ld3	     Tu3     26.0     41.5     46.0	130.	 0.75
 Tu4Ld3	     Tu4     21.0     37.0     42.5	280.	 0.75
gSfsLd3	    gSfs      2.0     17.5     36.0    1300.	 0.75
  mSLd3	      mS      3.5     11.0     36.0    4270.	 0.75
mSgsLd3	    mSgs      3.0     11.0     34.5    2810.	 0.75
mSfsLd3	    mSfs      3.5     16.0     35.5    2210.	 0.75
  fSLd3	      fS      4.0     24.0     34.0    1060.	 0.75
fSmsLd3	    fSms      3.0     19.5     35.5    1690.	 0.75
Hhz1SV3	    Hhz1     11.0     69.0     94.0	 30.	 0.75
Hhz2SV3	    Hhz2     11.0     69.0     94.0	 30.	 0.75
Hhz3SV3	    Hhz3     13.0     73.0     75.0	 30.	 0.75
Hhz4SV3	    Hhz4     17.0     82.0     92.0	 30.	 0.75
Hhz5SV3	    Hhz5     17.0     82.0     92.0	 30.	 0.75
