FLUSS_KM	RW	HW	HOEHE
41.72	3929158.091	773782.587	365.93
41.72	3929156.127	773782.298	365.919
41.72	3929154.742	773782.094	365.913
41.72	3929151.71	773781.647	365.875
41.72	3929149.561	773781.331	365.848
41.72	3929147.981	773781.098	365.828
41.72	3929144.881	773780.641	365.79
41.72	3929143.47	773780.434	365.769
41.72	3929141.923	773780.206	365.746
41.72	3929136.969	773779.476	365.634
41.72	3929134.918	773779.174	365.579
41.72	3929133.153	773778.914	365.533
41.72	3929127.887	773778.138	365.42
41.72	3929124.568	773777.65	365.351
41.72	3929124.511	773777.641	365.349
41.72	3929124.461	773777.634	365.348
41.72	3929123.927	773777.555	365.338
41.72	3929120.937	773777.115	365.279
41.72	3929119.801	773776.957	365.255
41.72	3929119.801	773776.955	365.255
41.72	3929119.542	773776.921	365.251
41.72	3929119.542	773776.919	365.251
41.72	3929119.542	773776.919	365.251
41.72	3929119.227	773776.877	365.246
41.72	3929119.226	773776.876	365.246
41.72	3929119.226	773776.876	365.246
41.72	3929118.148	773776.729	365.225
41.72	3929118.148	773776.727	365.225
41.72	3929118.148	773776.727	365.225
41.72	3929117.133	773776.589	365.204
41.72	3929117.133	773776.588	365.204
41.72	3929117.133	773776.588	365.204
41.72	3929115.953	773776.426	365.179
41.72	3929115.953	773776.425	365.179
41.72	3929115.953	773776.425	365.179
41.72	3929115.084	773776.306	365.123
41.72	3929115.083	773776.306	365.123
41.72	3929115.083	773776.306	365.123
41.72	3929114.614	773776.241	365.094
41.72	3929114.614	773776.241	365.094
41.72	3929114.614	773776.241	365.094
41.72	3929114.161	773776.179	365.065
41.72	3929114.161	773776.179	365.065
41.72	3929114.16	773776.179	365.065
41.72	3929113.26	773776.063	365.007
41.72	3929111.436	773776.007	364.593
41.72	3929110.79	773775.987	364.447
41.72	3929110.029	773775.964	364.275
41.72	3929108.339	773775.912	363.892
41.72	3929107.223	773775.877	363.641
41.72	3929106.345	773775.85	363.461
41.72	3929105.293	773775.818	363.245
41.72	3929104.336	773775.788	363.033
41.72	3929102.951	773775.746	362.877
41.72	3929100.75	773775.678	362.633
41.72	3929097.769	773775.586	362.303
41.72	3929097.148	773775.567	362.233
41.72	3929096.727	773775.554	362.233
41.72	3929093.956	773775.469	362.233
41.72	3929093.667	773775.46	362.233
41.72	3929091.088	773775.381	362.233
41.72	3929090.758	773775.371	362.233
41.72	3929090.528	773775.364	362.227
41.72	3929088.993	773775.316	362.186
41.72	3929087.659	773775.275	362.151
41.72	3929087.225	773775.262	362.139
41.72	3929086.662	773775.245	362.124
41.72	3929085.235	773775.201	362.086
41.72	3929084.014	773775.163	362.053
41.72	3929083.247	773775.14	362.033
41.72	3929081.692	773775.092	362.449
41.72	3929081.692	773775.092	362.449
41.72	3929080.022	773775.04	362.904
41.72	3929080.022	773775.04	362.904
41.72	3929078.703	773775	363.263
41.72	3929076.802	773774.941	363.769
41.72	3929074.832	773774.881	364.363
41.72	3929074.249	773774.863	364.542
41.72	3929073.787	773774.849	364.684
41.72	3929071.672	773774.783	365.318
41.72	3929070.778	773774.756	365.354
41.72	3929070.01	773774.744	365.384
41.72	3929069.878	773774.745	365.39
41.72	3929069.736	773774.746	365.396
41.72	3929068.119	773774.821	365.462
41.72	3929067.123	773774.909	365.504
41.72	3929066.851	773774.933	365.515
41.72	3929066.56	773774.959	365.527
41.72	3929065.584	773775.046	365.567
41.72	3929062.923	773775.281	365.67
41.72	3929062.149	773775.35	365.696
41.72	3929061.276	773775.427	365.725
41.72	3929058.715	773775.653	365.825
41.72	3929055.596	773775.929	365.93
41.72	3929052.01	773776.247	366.052
41.72	3929050.762	773776.357	366.095
41.72	3929046.543	773776.731	366.241
41.72	3929042.772	773777.064	366.372
41.72	3929036.5	773777.619	366.602
41.72	3929033.95	773777.845	366.69
41.72	3929031.174	773778.091	366.786
41.72	3929025.09	773778.629	367.011
41.74	3929160.039	773790.016	366.056
41.74	3929159.208	773789.899	366.05
41.74	3929156.447	773789.511	366.03
41.74	3929153.449	773789.089	365.989
41.74	3929150.271	773788.642	365.946
41.74	3929149.456	773788.528	365.935
41.74	3929148.276	773788.362	365.92
41.74	3929142.564	773787.558	365.843
41.74	3929139.025	773787.061	365.744
41.74	3929135.575	773786.576	365.651
41.74	3929131.405	773785.989	365.539
41.74	3929128.597	773785.594	365.461
41.74	3929127.912	773785.498	365.441
41.74	3929126.067	773785.239	365.387
41.74	3929123.948	773784.941	365.326
41.74	3929123.492	773784.877	365.312
41.74	3929123.276	773784.846	365.305
41.74	3929122.225	773784.698	365.27
41.74	3929121.116	773784.543	365.233
41.74	3929120.858	773784.506	365.226
41.74	3929120.833	773784.503	365.226
41.74	3929120.785	773784.496	365.225
41.74	3929120.436	773784.447	365.217
41.74	3929117.904	773784.091	365.173
41.74	3929115.784	773783.793	365.135
41.74	3929115.253	773783.72	365.126
41.74	3929114.718	773783.661	365.005
41.74	3929112.635	773783.642	364.529
41.74	3929110.267	773783.657	363.986
41.74	3929110.054	773783.659	363.937
41.74	3929109.922	773783.66	363.903
41.74	3929108.208	773783.67	363.485
41.74	3929106.777	773783.68	363.135
41.74	3929106.382	773783.682	363.038
41.74	3929106.358	773783.682	363.033
41.74	3929106.305	773783.683	363.027
41.74	3929102.892	773783.704	362.633
41.74	3929100.168	773783.722	362.318
41.74	3929099.413	773783.726	362.233
41.74	3929098.573	773783.732	362.233
41.74	3929096.276	773783.746	362.233
41.74	3929094.38	773783.759	362.233
41.74	3929093.135	773783.766	362.233
41.74	3929092.306	773783.772	362.211
41.74	3929091.341	773783.778	362.186
41.74	3929090.496	773783.783	362.164
41.74	3929089.551	773783.789	362.138
41.74	3929088.335	773783.797	362.106
41.74	3929087.554	773783.802	362.086
41.74	3929087.554	773783.802	362.086
41.74	3929086.886	773783.806	362.068
41.74	3929086.886	773783.806	362.068
41.74	3929085.561	773783.815	362.033
41.74	3929083.212	773783.83	362.739
41.74	3929082.621	773783.833	362.931
41.74	3929082.126	773783.837	363.092
41.74	3929079.643	773783.852	363.827
41.74	3929077.128	773783.868	364.574
41.74	3929077.097	773783.868	364.583
41.74	3929077.07	773783.869	364.591
41.74	3929076.783	773783.871	364.677
41.74	3929074.563	773783.885	365.342
41.74	3929073.902	773783.889	365.369
41.74	3929073.452	773783.892	365.387
41.74	3929073.304	773783.893	365.393
41.74	3929071.909	773783.918	365.45
41.74	3929071.189	773783.943	365.481
41.74	3929070.542	773783.973	365.509
41.74	3929070.035	773783.996	365.53
41.74	3929069.553	773784.019	365.55
41.74	3929068.95	773784.047	365.575
41.74	3929068.488	773784.068	365.594
41.74	3929067.065	773784.135	365.654
41.74	3929065.372	773784.213	365.724
41.74	3929064.132	773784.271	365.776
41.74	3929062.561	773784.344	365.841
41.74	3929060.929	773784.42	365.903
41.74	3929060.343	773784.447	365.925
41.74	3929058.959	773784.512	365.976
41.74	3929052.437	773784.815	366.189
41.74	3929046.32	773785.099	366.39
41.74	3929044.546	773785.182	366.455
41.74	3929042.531	773785.276	366.521
41.74	3929035.973	773785.581	366.744
41.74	3929029.372	773785.888	366.968
41.74	3929027.401	773785.979	367.034
41.74	3929026.54	773786.019	367.46
41.745	3929207.04	773799.596	369.765
41.745	3929193.872	773798.301	369.313
41.745	3929192.625	773798.178	369.292
41.745	3929191.652	773798.083	369.276
41.745	3929187.671	773797.691	369.1
41.745	3929178.18	773796.758	368.681
41.745	3929174.151	773796.361	368.471
41.745	3929173.017	773796.25	368.327
41.745	3929171.329	773796.084	368.114
41.745	3929167.935	773795.75	367.892
41.745	3929167.302	773795.688	367.277
41.745	3929166.222	773795.581	366.226
41.745	3929166.21	773795.58	366.215
41.745	3929164.202	773795.383	366.179
41.745	3929163.022	773795.267	366.158
41.745	3929161.276	773795.095	366.147
41.745	3929160.545	773795.023	366.142
41.745	3929159.508	773794.921	366.135
41.745	3929157.765	773794.749	366.123
41.745	3929155.941	773794.57	366.1
41.745	3929150.714	773794.056	366.031
41.745	3929145.403	773793.534	365.962
41.745	3929143.727	773793.369	365.94
41.745	3929143.336	773793.33	365.935
41.745	3929142.767	773793.274	365.919
41.745	3929136.34	773792.642	365.737
41.745	3929132.798	773792.294	365.637
41.745	3929129.361	773791.956	365.543
41.745	3929127.991	773791.821	365.502
41.745	3929127.204	773791.743	365.477
41.745	3929126.521	773791.676	365.455
41.745	3929125.006	773791.527	365.41
41.745	3929124.53	773791.481	365.394
41.745	3929124.007	773791.429	365.377
41.745	3929122.518	773791.288	365.329
