       Stat Kenn   Abfluss     Sohle     h_WSP       hen      h_BV    Boe_li    Boe_re     v_m  tau_fl      Q_li      Q_fl      Q_re lamb_li lamb_fl lamb_re      f_li      f_fl      f_re     br_li     br_fl     br_re    WehrOK  BrueckOK  BrueckUK   BrueckB    RohrDN   AlphaIW   AlphaEW    I_Reib
         km    -     m^3/s       mNN       mNN       mNN       mNN       mNN       mNN     m/s   N/m^2     m^3/s     m^3/s     m^3/s       -       -       -       m^2       m^2         m         m         m         m       mNN       mNN       mNN         m         m         -         -         -
    41.7200    n   300.000   362.033   367.200   367.268   364.363   365.007   364.363   0.904   10.53    42.780   228.690    28.534  0.1928  0.0523  0.0918    96.586   180.201    55.245    56.692    41.788    49.914  -999.999  -999.999  -999.999  -999.999  -999.999   1.22629   1.64010   0.00000
    41.7400    n   300.000   362.033   367.190   367.276   364.574   365.126   364.574   1.039   13.48    34.763   236.666    28.509  0.1745  0.0544  0.0951    69.246   168.135    51.337    45.226    39.465    50.091  -999.999  -999.999  -999.999  -999.999  -999.999   1.20085   1.55920   0.00000
    41.7450    n   300.000   362.033   367.190   367.278   365.191   365.191   365.296   1.070   14.58    36.495   236.456    26.252  0.1557  0.0575  0.0880    69.240   165.970    45.062    50.437    40.490    47.826  -999.999  -999.999  -999.999  -999.999  -999.999   1.18416   1.51029   0.00000
    41.8000    n   300.000   362.035   367.189   367.305   364.709   365.384   364.709   1.179   17.67    34.775   247.038    18.204  0.0876  0.0544  0.0795    69.810   153.293    31.369   125.336    37.209    45.603  -999.999  -999.999  -999.999  -999.999  -999.999   1.23532   1.63387   0.00000
    41.9000    n   300.000   361.044   367.278   367.343   364.463   364.463   364.732   0.832   11.04    46.283   224.970    28.390  0.0847  0.0571  0.0818   125.912   180.944    53.546   235.356    36.850    49.596  -999.999  -999.999  -999.999  -999.999  -999.999   1.29230   1.84357   0.00000
    42.0000    n   300.000   360.049   367.300   367.369   363.856   363.856   364.906   0.870    9.50    29.177   253.814    16.968  0.1088  0.0498  0.1076    99.894   205.470    39.401   173.306    35.717    31.636  -999.999  -999.999  -999.999  -999.999  -999.999   1.28983   1.79224   0.00000
    42.0350    n   300.000   359.952   367.338   367.375   362.451   362.451   365.193   0.640    4.80    41.482   245.681    12.812  0.0840  0.0469  0.1016   156.487   271.618    40.506   194.929    43.324    29.180  -999.999  -999.999  -999.999  -999.999  -999.999   1.27420   1.75197   0.00000
    42.1000    n   300.000   360.558   367.342   367.388   363.307   363.307   365.565   0.628    7.38    54.473   217.094    29.302  0.1681  0.0532  0.0875   209.725   205.942    61.803   253.103    39.039    41.043  -999.999  -999.999  -999.999  -999.999  -999.999   1.41934   2.26843   0.00000
    42.2000    n   300.000   360.444   367.364   367.403   363.506   363.506   365.656   0.548    5.92    56.895   239.493     4.081  0.1980  0.0531  0.1045   270.512   253.621    22.849   319.923    46.864    69.604  -999.999  -999.999  -999.999  -999.999  -999.999   1.50129   2.50439   0.00000
    42.3000    n   300.000   359.807   367.386   367.413   363.758   366.310   363.758   0.483    3.86    44.214   225.710    30.283  0.1681  0.0488  0.0399   264.579   283.692    73.160   332.224    46.960    63.472  -999.999  -999.999  -999.999  -999.999  -999.999   1.42108   2.23352   0.00000
    42.4000    n   300.000   361.276   367.386   367.428   363.241   366.743   363.241   0.661    7.37    26.652   205.116    68.169  0.2628  0.0568  0.0823   125.134   201.241   127.180   156.587    44.469    78.682  -999.999  -999.999  -999.999  -999.999  -999.999   1.30314   1.87609   0.00000
    42.5000    n   300.000   361.107   367.432   367.440   365.060   365.772   365.060   0.308    2.16   142.000    90.765    67.351  0.1082  0.0587  0.1096   549.617   167.278   258.553   319.534    35.097   145.559  -999.999  -999.999  -999.999  -999.999  -999.999   1.19601   1.63689   0.00000
    42.6000    n   300.000   361.526   367.438   367.446   363.966   363.966   365.648   0.344    2.20    96.781    83.786   119.792  0.0991  0.0689  0.0886   331.716   165.796   374.554   200.238    41.026   210.703  -999.999  -999.999  -999.999  -999.999  -999.999   1.08186   1.25928   0.00000
    42.7000    n   300.000   361.677   367.443   367.455   361.677   361.677   366.048   0.391    3.08    52.186    80.917   167.701  0.1727  0.0572  0.0945   196.615   123.367   447.117   132.500    32.973   274.937  -999.999  -999.999  -999.999  -999.999  -999.999   1.16630   1.53658   0.00000
    42.8000    n   300.000   361.260   367.452   367.464   361.260   361.260   366.298   0.392    2.47    66.585    92.191   141.194  0.0554  0.0635  0.0968   150.082   165.222   449.456    83.081    42.849   287.550  -999.999  -999.999  -999.999  -999.999  -999.999   1.14261   1.49084   0.00000
    42.8950    n   300.000   360.991   367.457   367.473   364.105   364.105   364.661   0.398    3.27    33.751   145.927   119.391  0.1479  0.0534  0.0996   136.047   208.384   408.450    86.307    39.155   278.429  -999.999  -999.999  -999.999  -999.999  -999.999   1.28074   1.95362   0.00000
    42.9000    n   300.000   360.987   367.459   367.473   363.857   363.857   365.149   0.381    2.84    32.150   162.000   105.736  0.1516  0.0518  0.1000   142.679   244.779   400.300    88.690    44.921   275.857  -999.999  -999.999  -999.999  -999.999  -999.999   1.29435   1.98292   0.00000
    43.0000    n   300.000   360.667   367.468   367.479   363.886   366.059   363.886   0.324    2.39    94.520   129.675    75.805  0.1123  0.0514  0.0988   405.833   212.488   308.578   274.052    39.121   212.536  -999.999  -999.999  -999.999  -999.999  -999.999   1.30286   2.04692   0.00000
    43.1000    n   300.000   360.163   367.474   367.484   362.722   365.927   362.722   0.314    2.02    95.841   147.978    56.900  0.0954  0.0537  0.1010   444.307   269.529   242.282   347.997    50.418   150.469  -999.999  -999.999  -999.999  -999.999  -999.999   1.27278   1.91294   0.00000
    43.2000    n   300.000   360.092   367.479   367.489   365.676   365.908   365.676   0.314    2.11   104.468   159.099    36.391  0.0949  0.0534  0.1039   514.960   282.819   156.506   466.855    53.521    98.391  -999.999  -999.999  -999.999  -999.999  -999.999   1.30014   2.00598   0.00000
    43.3000    n   300.000   360.315   367.475   367.499   364.794   364.794   366.061   0.494    4.49    54.632   187.958    57.604  0.0869  0.0551  0.1010   213.427   232.933   161.064   286.670    43.394    95.081  -999.999  -999.999  -999.999  -999.999  -999.999   1.30046   1.92751   0.00000
    43.4000    n   300.000   360.139   367.491   367.508   362.644   362.644   365.648   0.332    3.59   109.566   159.726    32.036  0.1139  0.0582  0.4468   472.781   227.425   204.625   497.103    41.465   117.312  -999.999  -999.999  -999.999  -999.999  -999.999   1.54090   2.93604   0.00000
    43.5000    n   300.000   359.987   367.507   367.513   364.756   364.920   364.756   0.265    1.47   139.149   108.077    53.002  0.0781  0.0541  0.1035   646.127   231.643   254.264   431.953    40.435   136.405  -999.999  -999.999  -999.999  -999.999  -999.999   1.22036   1.73241   0.00000
    43.6000    n   300.000   360.316   367.511   367.516   363.932   365.526   363.932   0.236    1.17   137.942   101.038    60.514  0.1129  0.0586  0.0954   716.462   252.709   299.803   352.561    47.231   158.246  -999.999  -999.999  -999.999  -999.999  -999.999   1.20005   1.62694   0.00000
    43.7000    n   300.000   360.127   367.507   367.526   362.827   365.096   362.827   0.448    3.51    29.759   153.975   116.248  0.0836  0.0521  0.1101    87.682   209.612   372.287    51.259    33.307   195.341  -999.999  -999.999  -999.999  -999.999  -999.999   1.25623   1.83029   0.00000
    43.8000    n   300.000   359.853   367.515   367.532   364.904   365.014   364.904   0.449    2.90    59.243   172.456    68.634  0.0879  0.0484  0.1073   165.678   249.294   252.536    71.691    45.210   157.024  -999.999  -999.999  -999.999  -999.999  -999.999   1.22303   1.68151   0.00000
    43.9000    n   300.000   359.755   367.524   367.539   364.232   365.606   364.232   0.448    3.03   111.420   140.831    47.569  0.1054  0.0560  0.1148   315.696   214.080   140.500   139.699    43.817    62.676  -999.999  -999.999  -999.999  -999.999  -999.999   1.18310   1.51871   0.00000
    43.9820    n   300.000   359.869   367.528   367.546   362.171   366.234   362.171   0.472    3.58   127.395   148.404    24.170  0.0957  0.0582  0.1373   348.865   211.717    75.229   179.262    40.401    33.725  -999.999  -999.999  -999.999  -999.999  -999.999   1.18738   1.55565   0.00000
    44.0000    n   300.000   359.921   367.522   367.556   362.707   365.569   362.707   0.392    5.72    73.132   204.805    22.027  1.0405  0.0526  0.1727   480.853   219.581    64.987   189.930    37.214    29.905  -999.999  -999.999  -999.999  -999.999  -999.999   1.87734   4.31858   0.00000
    44.1000    n   300.000   360.131   367.549   367.564   363.917   365.236   363.917   0.366    2.48    81.634   188.836    29.848  0.1668  0.0492  0.0621   383.394   297.101   139.693   188.987    47.962   182.398  -999.999  -999.999  -999.999  -999.999  -999.999   1.38481   2.20344   0.00000
    44.2000    n   300.000   360.268   367.553   367.570   364.912   364.912   365.283   0.423    3.36   102.581   148.300    48.474  0.0940  0.0528  0.0854   311.138   207.860   190.092   169.834    36.547   191.218  -999.999  -999.999  -999.999  -999.999  -999.999   1.25671   1.83553   0.00000
    44.3000    n   300.000   360.563   367.556   367.579   364.725   364.725   365.575   0.531    4.11    73.421   168.885    57.471  0.1034  0.0522  0.0809   207.800   212.901   144.032   113.303    38.478    77.509  -999.999  -999.999  -999.999  -999.999  -999.999   1.19051   1.58332   0.00000
    44.3900    n   300.000   361.439   367.564   367.586   364.980   364.998   364.980   0.573    2.91    17.780   263.833    18.116  0.0747  0.0503  0.1142    51.112   387.725    84.874    26.211    71.650    76.406  -999.999  -999.999  -999.999  -999.999  -999.999   1.11988   1.29887   0.00000
    44.4000    n   300.000   361.518   367.557   367.587   364.732   364.732   365.027   0.733    4.23    30.345   251.481    18.151  0.0629  0.0527  0.0714    58.150   314.065    37.186    23.584    59.354    15.631  -999.999  -999.999  -999.999  -999.999  -999.999   1.03463   1.09443   0.00000
    44.4050    n   300.000   361.563   367.559   367.587   364.412   364.412   365.069   0.694    4.31    34.396   238.845    26.661  0.0647  0.0548  0.0770    64.365   301.196    66.423    25.034    57.497    39.378  -999.999  -999.999  -999.999  -999.999  -999.999   1.06227   1.16588   0.00000
    44.4250    n   300.000   361.601   367.562   367.589   364.356   364.356   364.950   0.630    4.22    42.518   229.155    28.327  0.1043  0.0539  0.0708   105.108   289.671    81.574    44.761    56.231    69.684  -999.999  -999.999  -999.999  -999.999  -999.999   1.14195   1.37029   0.00000
    44.5000    n   300.000   361.792   367.581   367.595   364.652   364.652   365.554   0.458    2.47    45.780   150.366   103.238  0.0717  0.0527  0.0683   134.416   245.719   275.169    71.379    49.133   126.160  -999.999  -999.999  -999.999  -999.999  -999.999   1.10901   1.32285   0.00000
    44.6000    n   300.000   360.740   367.581   367.603   363.881   363.881   365.030   0.591    3.72    55.138   224.308    20.623  0.0684  0.0594  0.0662   144.919   316.898    45.487    95.975    61.171    21.611  -999.999  -999.999  -999.999  -999.999  -999.999   1.09142   1.24052   0.00000
    44.7000    n   300.000   359.728   367.586   367.614   363.780   363.780   364.733   0.607    4.21    59.303   221.553    19.387  0.0850  0.0513  0.0695   176.182   273.493    44.913   112.083    41.560    20.898  -999.999  -999.999  -999.999  -999.999  -999.999   1.18044   1.49700   0.00000
    44.8000    n   300.000   359.599   367.598   367.621   364.929   365.020   364.929   0.580    3.50    57.469   230.672    11.630  0.0698  0.0522  0.0646   171.913   314.958    30.054   113.322    50.382    15.589  -999.999  -999.999  -999.999  -999.999  -999.999   1.13039   1.35689   0.00000
    44.9000    n   300.000   359.986   367.607   367.628   363.962   363.962   364.515   0.526    3.24    65.229   220.686    13.806  0.1025  0.0539  0.0607   217.995   318.216    34.446   115.413    51.411    16.747  -999.999  -999.999  -999.999  -999.999  -999.999   1.18353   1.48569   0.00000
    45.0000    n   300.000   359.854   367.616   367.634   363.610   363.610   364.650   0.531    3.15    89.677   163.455    46.426  0.0670  0.0545  0.0626   221.101   240.185   104.188    98.854    38.480    41.219  -999.999  -999.999  -999.999  -999.999  -999.999   1.09517   1.27973   0.00000
    45.1000    n   300.000   360.251   367.623   367.640   364.006   364.006   364.899   0.529    2.79    63.500   184.130    51.947  0.0668  0.0549  0.0627   157.045   288.810   121.614    63.176    49.724    46.709  -999.999  -999.999  -999.999  -999.999  -999.999   1.06443   1.18606   0.00000
    45.2000    n   300.000   358.997   367.630   367.645   362.412   362.412   364.608   0.502    2.37    68.721   203.367    27.477  0.0655  0.0534  0.0625   183.270   341.056    73.337    69.147    53.211    28.888  -999.999  -999.999  -999.999  -999.999  -999.999   1.06763   1.19272   0.00000
    45.3000    n   300.000   358.516   367.635   367.649   363.175   363.175   365.045   0.470    2.10    86.542   206.802     6.653  0.0678  0.0494  0.0620   260.567   355.142    23.130    99.711    51.583    12.575  -999.999  -999.999  -999.999  -999.999  -999.999   1.09054   1.26139   0.00000
    45.4000    n   300.000   358.504   367.642   367.652   362.081   364.898   362.081   0.398    1.43    46.925   216.067    36.598  0.0832  0.0469  0.0543   204.379   437.695   111.659    85.810    59.511    34.540  -999.999  -999.999  -999.999  -999.999  -999.999   1.11171   1.30526   0.00000
    45.5000    n   300.000   356.958   367.647   367.654   363.750   364.964   363.750   0.311    0.82    22.461   226.305    51.032  0.0686  0.0421  0.0646   130.609   575.082   259.876    55.865    65.887    90.602  -999.999  -999.999  -999.999  -999.999  -999.999   1.11873   1.33737   0.00000
    45.6000    n   300.000   357.376   367.646   367.656   363.476   364.480   363.476   0.379    1.19    11.609   209.589    78.507  0.0557  0.0428  0.0620    49.267   444.225   297.662    21.263    53.874    94.469  -999.999  -999.999  -999.999  -999.999  -999.999   1.09577   1.27562   0.00000
    45.7000    n   300.000   358.597   367.649   367.657   363.488   363.488   363.553   0.367    0.97    11.589   227.745    60.383  0.0477  0.0439  0.0577    46.240   540.834   230.736    17.393    72.975    68.749  -999.999  -999.999  -999.999  -999.999  -999.999   1.05626   1.15578   0.00000
    45.8000    n   300.000   358.910   367.649   367.659   362.508   362.508   363.358   0.410    1.28    51.900   206.652    41.199  0.0491  0.0465  0.0561   152.713   441.008   137.526    42.372    59.133    43.426  -999.999  -999.999  -999.999  -999.999  -999.999   1.05037   1.13998   0.00000
    45.9000    n   300.000   359.301   367.653   367.661   362.010   362.010   363.252   0.378    0.95   121.653   158.623    19.574  0.0439  0.0485  0.0528   319.545   400.571    73.480    63.027    56.831    24.427  -999.999  -999.999  -999.999  -999.999  -999.999   1.02826   1.07478   0.00000
    46.0000    n   300.000   359.857   367.656   367.663   361.418   361.418   362.276   0.338    0.73   100.908   159.512    39.506  0.0410  0.0457  0.0496   290.680   447.427   149.258    55.113    63.290    41.230  -999.999  -999.999  -999.999  -999.999  -999.999   1.03281   1.08752   0.00000
    46.0160    n   300.000   359.723   367.657   367.663   361.314   361.314   362.384   0.311    0.61    96.654   167.087    36.260  0.0410  0.0417  0.0683   302.583   487.281   174.419    56.568    68.710    47.328  -999.999  -999.999  -999.999  -999.999  -999.999   1.04727   1.12797   0.00000
    46.1000    n   300.000   358.505   367.657   367.664   361.184   361.184   362.186   0.361    0.82   112.180   138.206    49.554  0.0399  0.0491  0.0460   296.012   377.553   157.602    53.335    48.824    36.174  -999.999  -999.999  -999.999  -999.999  -999.999   1.02518   1.06697   0.00000
    46.2000    n   300.000   358.194   367.659   367.665   362.059   362.059   362.080   0.319    0.65   108.921   151.650    39.429  0.0419  0.0441  0.0461   348.662   440.756   150.417    63.679    52.394    35.417  -999.999  -999.999  -999.999  -999.999  -999.999   1.03015   1.08108   0.00000
    46.3000    n   300.000   359.020   367.660   367.666   360.921   362.163   360.921   0.328    0.60   149.790   125.309    24.901  0.0398  0.0456  0.0416   437.299   384.969    92.200    71.851    49.835    22.448  -999.999  -999.999  -999.999  -999.999  -999.999   1.02509   1.06536   0.00000
    46.4000    n   300.000   359.094   367.661   367.667   361.385   362.240   361.385   0.327    0.60   141.903   131.930    26.167  0.0403  0.0439  0.0437   417.785   397.951   100.742    68.732    52.311    25.636  -999.999  -999.999  -999.999  -999.999  -999.999   1.02470   1.06486   0.00000
    46.5000    n   300.000   359.172   367.661   367.668   361.417   362.583   361.417   0.373    0.82   145.580   135.499    18.862  0.0409  0.0459  0.0427   379.554   357.982    67.490    66.156    46.649    20.633  -999.999  -999.999  -999.999  -999.999  -999.999   1.02925   1.07576   0.00000
    46.6000    n   300.000   359.309   367.661   367.670   362.296   363.097   362.296   0.395    0.97   103.666   154.983    41.274  0.0428  0.0435  0.0421   272.500   367.324   120.132    54.838    50.058    29.771  -999.999  -999.999  -999.999  -999.999  -999.999   1.03116   1.08252   0.00000
    46.7000    n   300.000   361.199   367.660   367.673   362.782   362.908   362.782   0.480    1.55    78.708   131.628    89.623  0.0486  0.0499  0.0443   177.321   264.311   183.548    45.522    44.046    42.860  -999.999  -999.999  -999.999  -999.999  -999.999   1.02513   1.06567   0.00000
    46.8000    n   300.000   362.984   367.659   367.678   363.328   363.652   363.328   0.594    2.53    81.266   163.310    55.763  0.0517  0.0532  0.0490   142.936   264.450    98.040    42.806    58.083    30.831  -999.999  -999.999  -999.999  -999.999  -999.999   1.01981   1.05037   0.00000
    46.9000    n   300.000   362.748   367.666   367.685   363.703   363.886   363.703   0.594    2.65    93.687   151.619    54.788  0.0545  0.0541  0.0476   169.163   242.426    93.288    52.065    51.717    28.864  -999.999  -999.999  -999.999  -999.999  -999.999   1.02161   1.05620   0.00000
    47.0000    n   300.000   362.535   367.673   367.691   363.410   363.936   363.410   0.573    2.45    63.648   154.093    82.244  0.0554  0.0526  0.0502   127.288   252.330   143.569    42.742    52.373    40.405  -999.999  -999.999  -999.999  -999.999  -999.999   1.02558   1.06746   0.00000
    47.1000    n   300.000   362.399   367.682   367.697   363.730   364.023   363.730   0.519    2.10    71.064   159.207    69.543  0.0581  0.0506  0.0540   157.295   276.088   144.805    51.573    56.638    45.081  -999.999  -999.999  -999.999  -999.999  -999.999   1.02921   1.08036   0.00000
    47.2000    n   300.000   362.532   367.687   367.702   363.336   364.211   363.336   0.513    2.12    57.205   159.396    83.399  0.0603  0.0521  0.0538   135.771   279.364   170.173    50.343    57.686    51.974  -999.999  -999.999  -999.999  -999.999  -999.999   1.03263   1.08902   0.00000
    47.3000    n   300.000   362.510   367.687   367.708   363.741   364.359   363.741   0.612    2.96    34.308   169.490    96.249  0.0604  0.0505  0.0545    76.796   247.486   165.767    35.770    51.536    50.259  -999.999  -999.999  -999.999  -999.999  -999.999   1.03815   1.10267   0.00000
