  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 20.96000000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
  --**.********-------**.********----**.********-------**.********-------**.********-------**.********----  ---**.********- -----**.********
    8.0740       0.5170           1.5170        0.5000     1.000000     0.5088127D+01     0.6065857D-03    -0.2227758D-03
    8.1570       0.6000           2.0150        0.7500     1.000000    -0.9240494D+00     0.8576847D-03     0.3278030D-03
    8.2250       0.6680           2.4610        1.0000     1.000000    -0.3055484D+01    -0.4212091D-02     0.2575296D-03
    8.2840       0.7270           2.8790        1.2500     1.000000    -0.3475145D+01    -0.3725596D-02     0.3372033D-04
    8.3360       0.7790           3.2750        1.5000     1.000000    -0.3095600D+01     0.8575227D-03    -0.1722016D-03
    8.3840       0.8270           3.6540        1.7500     1.000000    -0.2337911D+01     0.1654978D-01    -0.2999490D-03
    8.4230       0.8660           3.9800        2.0000     1.000000    -0.1564997D+01     0.5278646D-02    -0.3257170D-03
    8.4590       0.9020           4.2760        2.2500     1.000000    -0.7823672D+00    -0.5622787D-02    -0.2691037D-03
    8.4930       0.9360           4.5620        2.5000     1.000000    -0.4435814D-01    -0.1305469D-01    -0.1343927D-03
    8.5260       0.9690           4.8380        2.7500     1.000000     0.6393452D+00    -0.1199667D-01     0.7781565D-04
    8.5580       1.0010           5.1080        3.0000     1.000000     0.1237546D+01    -0.3920977D-02     0.3629566D-03
    8.5890       1.0320           5.3690        3.2500     1.000000     0.1735938D+01     0.9643339D-02     0.7138384D-03
    8.6200       1.0630           5.6260        3.5000     1.000000     0.2139935D+01     0.3626763D-01     0.1136102D-02
    8.6430       1.0860           5.8230        3.7500     1.002240     0.2361514D+01    -0.2752838D-03    -0.7468872D-03
    8.6710       1.1140           6.0610        4.0000     1.002530     0.2543770D+01     0.7923634D-04    -0.5559507D-03
    8.6990       1.1420           6.2940        4.2500     1.002830     0.2628342D+01     0.2421516D-02    -0.3296509D-03
    8.7250       1.1680           6.5230        4.5000     1.003120     0.2600225D+01    -0.7313883D-02    -0.9659624D-04
    8.7520       1.1950           6.7490        4.7500     1.003400     0.2487269D+01    -0.2251650D-02     0.1940512D-03
    8.7780       1.2210           6.9730        5.0000     1.003680     0.2282475D+01    -0.1715910D-02     0.4818227D-03
    8.8030       1.2460           7.1910        5.2500     1.005020     0.2004061D+01    -0.6618758D-02    -0.3038363D-03
    8.8290       1.2720           7.4070        5.5000     1.005470     0.1649324D+01     0.2322357D-02    -0.1783170D-03
    8.8530       1.2960           7.6210        5.7500     1.005910     0.1245641D+01    -0.5251903D-02    -0.9743033D-04
    8.8780       1.3210           7.8310        6.0000     1.006360     0.7840637D+00     0.5247353D-03    -0.2596239D-04
    8.9020       1.3450           8.0400        6.2500     1.006810     0.2916059D+00    -0.9879137D-03    -0.6303581D-05
    8.9260       1.3690           8.2470        6.5000     1.007230    -0.2287528D+00     0.2369717D-03     0.1794346D-05
    8.9490       1.3920           8.4560        6.7500     1.007560    -0.7545495D+00    -0.6541352D-02     0.4657904D-03
    8.9730       1.4160           8.6690        7.0000     1.007710    -0.1301867D+01    -0.2538491D-03    -0.2051295D-01
    8.9970       1.4400           8.8810        7.2500     1.009050    -0.1836830D+01     0.8524013D-02    -0.2824372D-01
    9.0200       1.4630           9.0940        7.5000     1.009770    -0.2333113D+01     0.8832755D-02    -0.2559042D-01
    9.0430       1.4860           9.3090        7.7500     1.011740    -0.2789426D+01     0.1140860D-01    -0.1830143D-01
    9.0650       1.5080           9.5240        8.0000     1.013040    -0.3180015D+01     0.5149960D-02    -0.7893992D-02
    9.0870       1.5300           9.7390        8.2500     1.014440    -0.3500152D+01     0.1037066D-02     0.3059734D-02
    9.1100       1.5530           9.9540        8.5000     1.015910    -0.3731007D+01     0.1046782D-01     0.1335315D-01
