   PROFIL     Q in m3/s  Tiefe m    Poly   
  -****.****--****.****--***.*****--****-
    42.6000    61.0000    1.26900               1
    43.2000   301.0000    6.83500               2
    43.2000   481.0000    7.34000               2
    43.3000   421.0000    7.40100               2
    43.3000   441.0000    7.40100               2
    43.4000   261.0000    7.14400               2
    43.4000   281.0000    7.14300               2
    43.4000   301.0000    7.14500               2
    43.5000   341.0000    7.21900               2
    43.5000   361.0000    7.21800               2
    43.5000   381.0000    7.21900               2
    43.5000   401.0000    7.21900               2
    43.5000   441.0000    7.21800               2
    43.5000   461.0000    7.22000               2
    43.5000   481.0000    7.21700               2
    43.9820   181.0000    6.78900               2
    45.2000    41.0000    1.40000               2
    46.0160   101.0000    2.93800               2
    46.3000   101.0000    3.17800               2
    46.4000   101.0000    3.25200               2
    46.5000   101.0000    3.41900               2
   PROFIL     Q in m3/s  alpha      Poly 
  -****.****--****.****--**.******--****-
    42.1000   321.0000               1.44026    2
    42.1000   341.0000               1.44407    2
    42.1000   361.0000               1.44178    2
    42.1000   381.0000               1.43520    2
    42.1000   401.0000               1.42726    2
    42.1000   421.0000               1.41778    2
    42.1000   441.0000               1.40779    2
    42.2000   261.0000               1.44799    x
    42.2000   281.0000               1.46751    x
    42.2000   301.0000               1.50687    x
    42.2000   321.0000               1.53112    x
    42.2000   341.0000               1.54336    x
    42.2000   361.0000               1.54860    x
    42.2000   381.0000               1.59218    x
    42.2000   401.0000               1.59211    x
    42.2000   421.0000               1.58719    x
    42.2000   441.0000               1.57791    x
    42.2000   461.0000               1.58975    x
    42.2000   481.0000               1.57974    x
    42.2000   501.0000               1.56738    x
    42.2000   521.0000               1.55468    x
    42.2000   541.0000               1.54179    x
    42.2000   561.0000               1.52891    x
    42.2000   581.0000               1.51615    x
    42.2000   601.0000               1.50360    x
    42.2000   621.0000               1.49145    x
    42.2000   641.0000               1.47971    x
    42.2000   661.0000               1.46846    x
    42.2000   681.0000               1.45763    x
    42.2000   700.0000               1.44771    x
    42.3000   401.0000               1.41491    x
    42.3000   421.0000               1.42774    x
    42.3000   441.0000               1.43561    x
    42.3000   461.0000               1.44017    x
    42.3000   481.0000               1.48818    x
    42.3000   501.0000               1.49211    x
    42.3000   521.0000               1.49236    x
    42.3000   541.0000               1.48991    x
    42.3000   561.0000               1.48560    x
    42.3000   581.0000               1.48010    x
    42.3000   601.0000               1.47372    x
    42.3000   621.0000               1.46683    x
    42.3000   641.0000               1.45955    x
    42.3000   661.0000               1.45203    x
    42.3000   681.0000               1.44438    x
    42.3000   700.0000               1.43715    x
    42.4000   261.0000               1.42381    2
    42.4000   281.0000               1.42651    2
    42.4000   301.0000               1.42673    2
    42.4000   321.0000               1.42452    2
    42.4000   341.0000               1.42134    2
    42.4000   361.0000               1.45370    2
    42.4000   381.0000               1.45184    2
    42.4000   401.0000               1.44760    2
    42.4000   421.0000               1.44123    2
    42.4000   441.0000               1.43374    2
    42.4000   461.0000               1.42600    2
    42.4000   481.0000               1.41801    2
    42.4000   501.0000               1.41004    2
    42.4000   521.0000               1.40255    2
    42.5000    81.0000               1.42230    2
    42.5000   101.0000               1.43896    2
    42.5000   121.0000               1.42283    2
    42.6000    61.0000               1.00000    2
    42.7000    61.0000               1.41521    2
    42.7000    81.0000               1.46424    2
    42.8950   141.0000               1.41698    2
    42.8950   161.0000               1.42290    2
    42.8950   181.0000               1.43076    2
    42.8950   201.0000               1.41468    2
    42.9000   201.0000               1.40144    2
    42.9000   221.0000               1.40490    2
    43.2000   301.0000               1.28650    2
    43.2000   481.0000               1.26406    2
    43.3000   421.0000               1.30632    2
    43.3000   441.0000               1.30662    2
    43.4000   221.0000               1.43535    2
    43.4000   241.0000               1.49780    2
    43.4000   261.0000               1.50072    2
    43.4000   281.0000               1.50641    2
    43.4000   301.0000               1.51143    2
    43.4000   321.0000               1.51631    2
    43.4000   341.0000               1.51659    2
    43.4000   361.0000               1.51170    2
    43.4000   381.0000               1.50385    2
    43.4000   401.0000               1.49197    2
    43.4000   421.0000               1.48206    2
    43.4000   441.0000               1.47029    2
    43.4000   461.0000               1.45832    2
    43.4000   481.0000               1.44661    2
    43.4000   501.0000               1.43540    2
    43.4000   521.0000               1.42474    2
    43.4000   541.0000               1.41463    2
    43.4000   561.0000               1.40508    2
    43.5000   341.0000               1.21427    2
    43.5000   361.0000               1.21407    2
    43.5000   381.0000               1.21389    2
    43.5000   401.0000               1.21436    2
    43.5000   441.0000               1.21527    2
    43.5000   461.0000               1.21553    2
    43.5000   481.0000               1.21631    2
    43.9820   181.0000               1.22784    2
    44.0000   121.0000               1.45580    x
    44.0000   141.0000               1.52943    x
    44.0000   161.0000               1.61298    x
    44.0000   181.0000               1.67751    x
    44.0000   201.0000               1.73102    x
    44.0000   221.0000               1.77816    x
    44.0000   241.0000               1.81967    x
    44.0000   261.0000               1.85730    x
    44.0000   281.0000               1.89208    x
    44.0000   301.0000               1.94307    x
    44.0000   321.0000               1.96667    x
    44.0000   341.0000               1.97482    x
    44.0000   361.0000               1.97358    x
    44.0000   381.0000               1.96762    x
    44.0000   401.0000               1.95943    x
    44.0000   421.0000               1.95031    x
    44.0000   441.0000               1.94109    x
    44.0000   461.0000               1.93187    x
    44.0000   481.0000               1.92296    x
    44.0000   501.0000               1.91437    x
    44.0000   521.0000               1.90614    x
    44.0000   541.0000               1.89852    x
    44.0000   561.0000               1.89143    x
    44.0000   581.0000               1.88499    x
    44.0000   601.0000               1.87911    x
    44.0000   621.0000               1.87432    x
    44.0000   641.0000               1.86939    x
    44.0000   661.0000               1.86466    x
    44.0000   681.0000               1.86034    x
    44.0000   700.0000               1.85656    x
    45.2000    41.0000               1.00000    1
    46.0160   101.0000               1.01787    2
    46.3000   101.0000               1.02230    2
    46.4000   101.0000               1.02333    2
    46.5000   101.0000               1.02465    2
