  
    PROFIL km    Bordvoll mNN  Sohlpunkt mNN  
  --***.****-----*****.****----*****.****---  
   41.7200       364.3630       362.0330
   41.7400       364.5740       362.0330
   41.7450       365.1910       362.0330
   41.8000       364.7090       362.0350
   41.9000       364.4630       361.0440
   42.0000       363.8560       360.0490
   42.0350       362.4510       359.9520
   42.1000       363.3070       360.5580
   42.2000       363.5060       360.4440
   42.3000       363.7580       359.8070
   42.4000       363.2410       361.2760
   42.5000       365.0600       361.1070
   42.6000       363.9660       361.5260
   42.7000       361.6770       361.6770
   42.8000       361.2600       361.2600
   42.8950       364.1050       360.9910
   42.9000       363.8570       360.9870
   43.0000       363.8860       360.6670
   43.1000       362.7220       360.1630
   43.2000       365.6760       360.0920
   43.3000       364.7940       360.3150
   43.4000       362.6440       360.1390
   43.5000       364.7560       359.9870
   43.6000       363.9320       360.3160
   43.7000       362.8270       360.1270
   43.8000       364.9040       359.8530
   43.9000       364.2320       359.7550
   43.9820       362.1710       359.8690
   44.0000       362.7070       359.9210
   44.1000       363.9170       360.1310
   44.2000       364.9120       360.2680
   44.3000       364.7250       360.5630
   44.3900       364.9800       361.4390
   44.4000       364.7320       361.5180
   44.4050       364.4120       361.5630
   44.4250       364.3560       361.6010
   44.5000       364.6520       361.7920
   44.6000       363.8810       360.7400
   44.7000       363.7800       359.7280
   44.8000       364.9290       359.5990
   44.9000       363.9620       359.9860
   45.0000       363.6100       359.8540
   45.1000       364.0060       360.2510
   45.2000       362.4120       358.9970
   45.3000       363.1750       358.5160
   45.4000       362.0810       358.5040
   45.5000       363.7500       356.9580
   45.6000       363.4760       357.3760
   45.7000       363.4880       358.5970
   45.8000       362.5080       358.9100
   45.9000       362.0100       359.3010
   46.0000       361.4180       359.8570
   46.0160       361.3140       359.7230
   46.1000       361.1840       358.5050
   46.2000       362.0590       358.1940
   46.3000       360.9210       359.0200
   46.4000       361.3850       359.0940
   46.5000       361.4170       359.1720
   46.6000       362.2960       359.3090
   46.7000       362.7820       361.1990
   46.8000       363.3280       362.9840
   46.9000       363.7030       362.7480
   47.0000       363.4100       362.5350
   47.1000       363.7300       362.3990
   47.2000       363.3360       362.5320
   47.3000       363.7410       362.5100
