Bodentypen für Modell Weiße Elster
GEW        2
GEW1        2.0     1
GEW2        8.0     1
gSfs       2
gSfs1       2.0     1
gSfs2       8.0     1
gSms       2
gSms1       2.0     1
gSms2       8.0     1
Ls2        2
Ls21        2.0     1
Ls22        8.0     1
Ls3        2
Ls31        2.0     1
Ls32        8.0     1
Ls4        2
Ls41        2.0     1
Ls42        8.0     1
Lsg        2
Lsg1        2.0     1
Lsg2        8.0     1
Lt2        2
Lt21        2.0     1
Lt22        8.0     1
Lt3        2
Lt31        2.0     1
Lt32        8.0     1
Lts        2
Lts1        2.0     1
Lts2        8.0     1
Lu         2
Lu1         2.0     1
Lu2         8.0     1
mS         2
mS1         2.0     1
mS2         8.0     1
mSgs       2
mSgs1       2.0     1
mSgs2       8.0     1
Sl2        2
Sl21        2.0     1
Sl22        8.0     1
Sl3        2
Sl31        2.0     1
Sl32        8.0     1
Sl4        2
Sl41        2.0     1
Sl42        8.0     1
Slu        2
Slu1        2.0     1
Slu2        8.0     1
Ss         2
Ss1         2.0     1
Ss2         8.0     1
St2        2
St21        2.0     1
St22        8.0     1
St3        2
St31        2.0     1
St32        8.0     1
Su2        2
Su21        2.0     1
Su22        8.0     1
Su3        2
Su31        2.0     1
Su32        8.0     1
Uls        2
Uls1        2.0     1
Uls2        8.0     1
Us         2
Us1         2.0     1
Us2         8.0     1
Ut3        2
Ut31        2.0     1
Ut32        8.0     1
Ut4        2
Ut41        2.0     1
Ut42        8.0     1
