
i n t e r f l o w   in m**3/s 

 simulationszeitraum:   von  950831   0 uhr   bis  950915   0 uhr            0.250


    1800       1    2817

   0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
   0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
   0.000    0.000    0.001    0.001    0.001    0.001    0.001    0.001    0.001    0.001
   0.001    0.001    0.001    0.001    0.001    0.001    0.001    0.001    0.001    0.002
   0.002    0.002    0.002    0.002    0.002    0.002    0.002    0.002    0.002    0.002
   0.002    0.002    0.003    0.003    0.003    0.003    0.003    0.003    0.003    0.003
   0.003    0.003    0.003    0.003    0.004    0.004    0.004    0.004    0.004    0.004
   0.004    0.004    0.004    0.004    0.004    0.004    0.005    0.005    0.005    0.005
   0.005    0.005    0.005    0.005    0.005    0.005    0.005    0.005    0.005    0.006
   0.006    0.006    0.006    0.006    0.006    0.006    0.006    0.006    0.006    0.006
   0.006    0.006    0.006    0.007    0.007    0.007    0.007    0.007    0.007    0.007
   0.007    0.007    0.007    0.007    0.007    0.007    0.007    0.007    0.008    0.008
   0.008    0.008    0.008    0.008    0.008    0.008    0.008    0.008    0.009    0.009
   0.009    0.009    0.009    0.009    0.009    0.009    0.010    0.010    0.010    0.010
   0.010    0.010    0.011    0.011    0.011    0.011    0.011    0.011    0.012    0.012
   0.012    0.012    0.013    0.013    0.013    0.013    0.014    0.014    0.014    0.014
   0.015    0.015    0.015    0.015    0.016    0.016    0.016    0.017    0.017    0.017
   0.018    0.018    0.018    0.019    0.019    0.019    0.020    0.020    0.020    0.021
   0.021    0.021    0.022    0.022    0.023    0.023    0.023    0.024    0.024    0.024
   0.025    0.025    0.026    0.026    0.026    0.027    0.027    0.028    0.028    0.028
   0.029    0.029    0.029    0.030    0.030    0.031    0.031    0.031    0.032    0.032
   0.032    0.033    0.033    0.034    0.034    0.034    0.035    0.035    0.035    0.036
   0.036    0.036    0.037    0.037    0.037    0.038    0.038    0.038    0.039    0.039
   0.039    0.040    0.040    0.040    0.041    0.041    0.041    0.042    0.042    0.042
   0.043    0.043    0.043    0.043    0.044    0.044    0.044    0.045    0.045    0.045
   0.045    0.046    0.046    0.046    0.046    0.047    0.047    0.047    0.047    0.048
   0.048    0.048    0.048    0.048    0.049    0.049    0.049    0.049    0.049    0.050
   0.050    0.050    0.050    0.050    0.051    0.051    0.051    0.051    0.051    0.051
   0.052    0.052    0.052    0.052    0.052    0.052    0.052    0.052    0.053    0.053
   0.053    0.053    0.053    0.053    0.053    0.053    0.053    0.054    0.054    0.054
   0.054    0.054    0.054    0.054    0.054    0.054    0.054    0.054    0.054    0.054
   0.054    0.055    0.055    0.055    0.055    0.055    0.055    0.055    0.055    0.055
   0.055    0.055    0.055    0.055    0.055    0.055    0.055    0.055    0.055    0.055
   0.055    0.055    0.055    0.055    0.055    0.055    0.055    0.055    0.055    0.055
   0.055    0.055    0.055    0.055    0.055    0.055    0.054    0.054    0.054    0.054
   0.054    0.054    0.054    0.054    0.054    0.054    0.054    0.054    0.054    0.054
   0.054    0.054    0.053    0.053    0.053    0.053    0.053    0.053    0.053    0.053
